id,task,verb,obj
711,Select language from the list,select,language
712,Select any language and listen,select,language
713,Click to play or learn the Guitar chord,play,chord
714,Manage the setting for the G - chord,manage,setting
715,Click to play or learn the Guitar chord,play,chord
716,SIGN UP or LOG IN Your GEIGO Account,log,in
717,Choose from the available option to proceed,choose,option
718,View the option on the home page for GEICO,view,option
719,Explore the available workout option or Click to More,explore,option
720,Select from the option or view more,select,option
721,choose from the given option and get more,get,more
722,choose the Pokemon from the list,choose,Pokémon
723,Search a pokemon or view a list of pokemon,search,pokemon
724,Explore the list of Pokemon,explore,list
725,Choose Your Sign-In Method,choose,method
726,Select method to signup for StackExchange,select,method
727,Select Option to Sing In to Stack Exchange,sign,in
728,View and explore weather,explore,weather
729,View the hourly weather update for may 4 2017,view,update
730,View the Weather forecast,view,forecast
731,Reject or Accept developer disclaimer,accept,disclaimer
732,Accept or reject the disclaimer,accept,disclaimer
733,Accept or Reject the term and condition,accept,term
734,View Starbucks business detail,view,detail
735,View the business detail of starbucks,view,detail
736,find the info about Starbucks on map,find,info
737,Search and Check saved favorite lyric,search,lyric
738,View the favorite page,view,page
739,Save favorite lyric,save,lyric
740,Read Term and Condition,read,term
741,Read or View term and condition of personal and business banking,read,term
742,Read the term and condition about personal and business banking,read,term
743,Read article about The Barrel Room new partnership,read,article
744,Explore the detail of wine bar-restaurant,explore,detail
745,Visit us at our new location,visit,us
746,Input credential to sign in,sign,in
747,Enter input for sign in,sign,in
748,sign in or Register for the account,sign,in
749,Explore or review the blog to buy product on banggood,review,blog
750,Read one of the blog on the application,read,blog
751,Select Blog to read,select,blog
752,Select a Transport medium for Travel,select,medium
753,Select an option to explore,explore,option
754,Select an option to explore,explore,option
755,Set up a profile by importing info from social account,set,profile
756,Manage the profile with various option available,manage,profile
757,View and Manage User Profile,manage,profile
758,Input criterion to search upcoming event or switch to all upcoming or Past,search,event
759,Check upcoming event list,check,list
760,Search Event,search,event
761,Select an option to explore,explore,option
762,View detail of the event,view,detail
763,Select from the option of the event page,select,option
764,Check the progress of the work,check,progress
765,Track and explore about work,track,work
766,Track your work round and total time left,track,work
767,Browse Our Collection of Customization Wedding Template,browse,collection
768,Select a wedding template,select,template
769,Select a template,select,template
770,Browse the classic children's book Charlotte's Web,browse,book
771,Search and check detail of a Book Charlotte's web to buy a copy,check,detail
772,Explore the detail about Charlotte's Web,explore,detail
773,Sign in or create an account to book a Hotel nearby,book,hotel
774,Click on the Sign In or Create Account button to explore hotel and car,explore,hotel
775,Find Hotel Or Car,find,hotel
776,Select a Goal and click on 'Continue' button,select,goal
777,Pick a daily goal from the radio button to continue,pick,goal
778,Select a daily goal from the given option,select,goal
779,Tap the Continue button to translate the sentence,translate,sentence
780,Translate a sentence,translate,sentence
781,Translate the text to other language,translate,text
782,Select your identification option,select,option
783,Select an option from the given option,select,option
784,Choose personal identification from the given option,choose,identification
785,Select an option from the list of Investing Style,select,option
786,Choose your investing style from the option provided: Conservative Moderate or Aggressive,choose,style
787,check investment question,check,question
788,Explore option in English Marathi Dictionary,explore,option
789,Check setting feature and explore other more option,check,feature
790,View or Manage Setting of dictionary,manage,setting
791,Provide your personal information for personal identification,provide,information
792,Provide the detail for Personal Identification verification,provide,detail
793,Verify personal detail for identification,verify,detail
794,log into the 'Teen Chat Room' app and check the Privacy Policy or Click on Cancel and return link,check,policy
795,Explore information about Teen Chat Room,explore,information
796,Login to Teen Chat Room,login,room
797,Explore Today's Breakfast Option,explore,option
798,View the calorie of today's breakfast,view,calorie
799,view the item in today's breakfast,view,item
800,Enter detail to sign in or click on activate mobile banking or Need help signing in,sign,in
801,Enter required detail to sign in,sign,in
802,Enter detail to Sing In to Scotiabank,sing,in
803,Click on the login button to access the account,access,account
804,Login with email and password,login,account
805,Login now,login,now
806,Check the availability of SmartPick match or click on the 'View More SmartPicks' button,check,availability
807,Select View More SmartPick to see additional recommendation,view,SmartPick
808,Check or View SmartPick match,view,match
809,Read and watch weather forecast,read,forecast
810,Read article on the weather forecast,read,article
811,Read and watch about forecast,read,forecast
812,Share the Document to Other App,share,document
813,select a sharing method to share a pdf,share,pdf
814,Choose to share the PDF file from the given option,share,file
815,View the calendar of the march month for 2017,view,calendar
816,Make a note for 10th March 2017 and save it,make,note
817,View calendar and add note,add,note
818,Save note on a specific date,save,note
819,Select country from the below list,select,country
820,Select a country from the list,select,country
821,Select a country from the list,select,country
822,Check the version(new or old) and their feature,check,version
823,Check latest update summary,check,summary
824,View the detail about version,view,detail
825,Explore the available option within the OBD-II Check feature or click on the Purchase Full Version button,explore,option
826,Select an option to explore the menu,explore,option
827,Purchase new version of OBD II,purchase,version
828,Manage the Audio Recorder setting,manage,setting
829,Manage the audio recorder,manage,recorder
830,Select the Audio file for auditing,select,file
831,Download video from the GetVideo,download,video
832,Tap on the illustration to get video,get,video
833,Explore GetVideo,explore,GetVideo
834,Share via available option,share,option
835,Choose an option to share,share,option
836,Select gender and stylisation from the list,select,gender
837,Click on start or open draft to proceed,open,draft
838,Select your preference,select,preference
839,Select an option from the given option,select,option
840,Please choose the Title,choose,title
841,Choose the title from the list,choose,title
842,Click 'connect' to explore the social medium,explore,medium
843,Choose either Twitter or Facebook in the Social Connection menu,choose,Twitter
844,show the type of social connection,show,type
845,Proceed to next page on onboarding screen,proceed,page
846,Click on next for reading offline article,read,article
847,Choose Next Option,choose,option
848,Explore Album 'A New Beginning' or switch to Song,explore,album
849,Explore Greg Laurie album,explore,album
850,View Album song of Greg Laurie,view,song
851,Explore the Media Gallery,explore,gallery
852,Add fuel by entering the detail below,add,fuel
853,Enter detail to Add fuel,add,fuel
854,Add Fuel detail,add,detail
855,Select the radio button next to the. code you want to activate,select,code
856,Select the Currency code,select,code
857,Select currency code,select,code
858,Explore the next meme or navigate back using the back button,explore,meme
859,View the meme,view,meme
860,Edit caption of the meme,edit,caption
861,Browse the Meal Reminder,browse,reminder
862,Explore and manage meal reminder,manage,reminder
863,Manage the Meal Reminder,manage,reminder
864,Create your own music today,create,music
865,Click Get Started and Explore Music,explore,music
866,Create a new music,create,music
867,Select your desired option from the available menu choice,select,option
868,Select an option from a list of option,select,option
869,Manage the setting,manage,setting
870,Adjust volume of Bass Booster,adjust,volume
871,Manage bass booster,manage,booster
872,Manage Volume of bass,manage,volume
873,Read Article 2017 Should Be Good For USD published by BK Asset Management,read,article
874,Read a financial forecast written by Kathy Lien,read,forecast
875,View the most popular article,view,article
876,Explore the top 10 Russian restaurant and 13 dining place in New York,explore,restaurant
877,View the article on various list of restaurant,view,article
878,Browse dining option,browse,option
879,Listen to live News on WEEI,listen,news
880,View the list of Just in on weei live,view,list
881,Listen to article under WEEI,listen,article
882,Proceed with Continue,proceed,continue
883,Click on continue to start by adding friend from your Address Book,add,friend
884,Continue by adding friend from address book,add,friend
885,Tap Plus button to add item to your shopping list,add,item
886,Click on the Plus button to add item to your shopping list,add,item
887,View Shopping List,view,list
888,Explore and edit your shopping list,edit,list
889,Click the Close button to dismiss the message in the Shopping List,dismiss,message
890,View or Manage shopping list,manage,list
891,Select Your Country from the List,select,country
892,View the list of code for country starting with A,view,list
893,Select a Country Name,select,country
894,Read the blog post do like comment and share the post,read,post
895,Read the news published on the blog,read,news
896,Manage Like or Comment a blog post,manage,like
897,Track Atmospheric Pressure with DS Barometer,track,pressure
898,Check the air pressure reading in DS Barometer,check,reading
899,View or monitor the barometer and altimeter,monitor,barometer
900,Select a category for self-growth,select,category
901,Select one or more area where we can motivate and achieve success,select,area
902,Select any Category,select,category
903,Find friend via contact or skip it,find,friend
904,Tap Find via Contact to discover friend on Live.ly or select Skip,find,friend
905,Find Contact who are on live.ly,find,contact
906,Explore Menu Item,explore,item
907,Browse the menu list to see all the available item,browse,list
908,Search menu item and place a order at Helmand palace,place,order
909,Click on the Close or X button to close screen,close,screen
910,Click on the Close or X button,click,button
911,View all information about Japan,view,information
912,Sign up to be a Jamba Insider and get $3 off your first order,sign,up
913,Click 'Sign In' to order Jamba Juice or 'Sign Up' to create an account,order,juice
914,Sign In or Sing Up to Jamba Juice,sign,in
915,Enter to search and select the preferred store,search,store
916,Search and select preferred store,search,store
917,Search your preferred store,search,store
918,Managed Bean Setting,manage,setting
919,View and Manage the setting,manage,setting
920,Explore option under Setting,explore,option
921,View or respond to the post by the SIB clerk in the Discuss tab on Adda247,respond,post
922,View Disucss Question of Adda 247,view,question
923,View discussion page of Adda247,view,page
924,Enter detail to Record a Fill-up or click Save to save the information,record,fill-up
925,Fill information and save it,fill,information
926,Mileage Tracker,track,mileage
927,Enter criterion to locate a store nearby,locate,store
928,Find a store,find,store
929,Enter Your Zip or City and State to Find Store,find,store
930,Manage setting and update information,manage,setting
931,Manage setting for the application,manage,setting
932,Manage Setting Page,manage,page
933,Select a Wallpaper from the list,select,wallpaper
934,Select an image for wallpaper,select,image
935,Select a wallpaper,select,wallpaper
936,Explore the menu list,explore,list
937,Select an option from the given list to explore,explore,option
938,select from the list to explore,explore,list
939,Adjust the setting,adjust,setting
940,Manage setting for the app,manage,setting
941,manage the setting,manage,setting
942,Search ATM Airport location and track it,track,location
943,Select from available option for mobile location tracker map,select,option
944,View mobile location tracker map option,view,option
945,Search the place or login to your account,search,place
946,Enter the location for Apartment,enter,location
947,Login into your account to search where to live,search,where
948,Explore various type of Wallpaper,explore,wallpaper
949,Select a wallpaper category to download,select,category
950,Explore quote wallpaper,explore,wallpaper
951,Discover the option within the Data Setting,discover,option
952,View data setting,view,setting
953,Manage your data setting,manage,setting
954,Read Disclaimer and confirm OK,confirm,OK
955,Click to agree the term and condition,agree,term
956,View the Term and Condition for One Click Trading,view,term
957,Click Delete to remove or Confirm to save,delete,item
958,Explore and view about selected option,explore,option
959,View the summary of data entered,view,summary
960,Choose the Start and End time for your desired time frame,choose,time
961,Record migraine start and end time then proceed to the next instance by clicking either the Next or Later button,record,time
962,Track the record for migraine,track,record
963,Click on next to proceed,proceed,next
964,Tap on next to proceed,proceed,next
965,Share shelf or moment with other,share,shelf
966,View ongoing event,view,event
967,Explore the event,explore,event
968,Go back to previous page,go,back
969,Manage your family location,manage,location
970,View the location of family person,view,location
971,Check your family location,check,location
972,View the abnormal detection result,view,result
973,View report of an MRI chest and abdomen scan,view,report
974,View full report,view,report
975,Select your basic configuration,select,configuration
976,Select basic configuration,select,configuration
977,Tap to select analog clock,select,clock
978,Select an analog clock from collection,select,clock
979,View Analog Clock Collection,view,collection
980,Click on Buy button to Upgrade the premium version by unlocking all widget theme and removing ad or Click on Cancel button,upgrade,version
981,Tap Buy to upgrade or Cancel to exit,upgrade,buy
982,Buy or Cancel to Premium Version,buy,version
983,Search for the word meaning,search,meaning
984,Discover impulsiveness in the Pocket Thesaurus,discover,impulsiveness
985,View thesaurus for the word impulsiveness,view,thesaurus
986,Explore and read about AceMarkC,explore,AceMarkC
987,View the photo of the current match,view,photo
988,Check the profile,check,profile
989,Tap or Click on Truth or Dare,tap,truth
990,Select truth or dare,select,truth
991,Select truth or dare to play,select,truth
992,Browse all option for shopping,browse,option
993,Browse all option for shopping,browse,option
994,view category on everything shop app,view,category
995,Choose your preferred workout type from the option provided under Workout #1,choose,type
996,View different workout,view,workout
997,Follow step-by-step for workout,follow,step
998,Enter and confirm PIN to register,confirm,PIN
999,Enter input to register for an account,register,input
1000,Register account by entering detail,register,account
1001,Browse exercise for specific muscle group,browse,exercise
1002,View exercise of body,view,exercise
1003,Exercise of different body part,exercise,part
1004,Update account information and Add friend from the contact list,update,information
1005,Update account information and add friend from contact,update,information
1006,Connect with your friend,connect,friend
1007,Tap on the book cover of a book and add it to the bookshelf,add,book
1008,Add book to bookshelf,add,book
1009,Tap on the book to add in your bookshelf,add,book
1010,Draw a sketch with the help of tool,draw,sketch
1011,View the instructional process on how to draw a character,view,process
1012,Draw as per the instruction,draw,instruction
1013,Select Recommended Topic from the list,select,topic
1014,Choose five topic to explore,choose,topic
1015,Choose 5 topic from the recommended topic,choose,topic
1016,select a method to learn korean,learn,korean
1017,View the side menu option for learning Korean,view,option
1018,Select an option for learn korean,select,option
1019,Explore nearby restaurant,explore,restaurant
1020,View nearby restaurant,view,restaurant
1021,show the list of Restaurant and bar nearby,show,list
1022,Choose number of year for your car,choose,number
1023,Choose AMG GT and year of the car,choose,AMG
1024,choose the car model,choose,model
1025,Search and explore fancy Unique Workwear to buy,explore,Workwear
1026,Shop for an item,shop,item
1027,Click to write comment and send,write,comment
1028,View and Write Comment,write,comment
1029,Post Comment,post,comment
1030,Select the difficulty level and click on the 'save' or 'cancel' button,select,level
1031,Choose an option and click Save or Cancel,choose,option
1032,Choose the preferred difficulty level to save,choose,level
1033,Enter your credential to Log In,log,in
1034,Enter email and password to log in,log,in
1035,Enter your email and password to login,login,email
1036,Save 'Cycling workout' track record,save,record
1037,Add and manage manual entry for race cycling,manage,entry
1038,Add a Manual Entry for Cycle Racing,add,entry
1039,View ongoing configuration of Local Futsal League or switch to completed competition,view,configuration
1040,View Status of appcrawler's competition,view,status
1041,View Competition,view,competition
1042,Select an option to explore under Barcode Scanner,explore,option
1043,Scan barcode and explore other menu option,scan,barcode
1044,Scan barcode,scan,barcode
1045,Set a Ringtone from the list of Ringtone,set,ringtone
1046,Select the ringtone from the list,select,ringtone
1047,Select ringtone,select,ringtone
1048,Explore photo aquarium to add photo frame,add,frame
1049,View setting of Photo Aquarium,view,setting
1050,Select a setting feature for the app,select,feature
1051,Navigate to the next or previous page by clicking the respective button,navigate,page
1052,Lock the screen,lock,screen
1053,Set wallpaper on screen,set,wallpaper
1054,Review the message regarding the update for the Dining room air conditioner and also check the status of other air conditioner,review,message
1055,View and manage the setting for air conditioner in different room,manage,setting
1056,Set temperature for the AC,set,temperature
1057,Explore or select the option listed within the Manual Lookup section,explore,option
1058,Select type of manual lookup,select,type
1059,Choose the option from the list,choose,option
1060,Select criterion to set alarm cock,set,cock
1061,Set and Adjust alarm setting,set,setting
1062,Activate Alarm,activate,alarm
1063,Choose option to meditate and awaken chakra,meditate,chakra
1064,Select the preferred Chakra,select,Chakra
1065,Select a chakra,select,chakra
1066,Click on the diaper icon to view the most recent activity,view,activity
1067,View latest activity of diaper,view,activity
1068,Check the latest activity by clicking on diaper,check,activity
1069,View Saved Traveller detail or Add new Traveller detail,add,detail
1070,View the saved traveller list or add one,add,one
1071,Add and view traveller detail,add,detail
1072,Check out the Airport outbound(Departure or Arrival) charge and click on the right tick mark,check,charge
1073,Explore and manage Outbound and Return airport,manage,airport
1074,View the list of outbound airport,view,list
1075,Enter required detail to modify address,modify,address
1076,Enter the address then click Okay to modify or Cancel to discard,modify,address
1077,Manage Account,manage,account
1078,Browse the image,browse,image
1079,Explore new wallpaper in the New tab switch to Hot or Best or search for any,explore,wallpaper
1080,Explore Wallpaper,explore,wallpaper
1081,Explore the option in Davis's Drug Guide,explore,option
1082,select an option from the Davis's Drug Guide menu list,select,option
1083,Search for medication,search,medication
1084,Select a method or option to send your feedback,send,feedback
1085,Check Sword detail and use Android Beam to send feedback,send,feedback
1086,Send Feedback about Great Sword,send,feedback
1087,Choose a chat from the option provided then proceed to email share or export it as needed,choose,chat
1088,Start a chat from the option below,start,chat
1089,select the option to chat,select,option
1090,Start your Trip and Track Distance with GPS,track,distance
1091,Enter detail and Click on the 'Start trip' button to Track distance,track,distance
1092,start trip by entering the detail of trip,start,trip
1093,Choose 'Enquire Now' or 'Chat ' button for Property Detail,enquire,now
1094,View the property detail for 3bhk flat,view,detail
1095,View Property Detail,view,detail
1096,Click on the Let's get started button to discover and navigate the world or Click on I am already a member button as an existing member,discover,world
1097,Choose from one of the two option to proceed,choose,option
1098,Navigate using Scout GPS link,navigate,link
1099,Start writing feedback and send,send,feedback
1100,Write feedback and send it,send,feedback
1101,Write feedback to improve the application,write,feedback
1102,select option Deny or Allow by reviewing the Term and Privacy Policy,select,option
1103,Choose Allow or Deny to control access to your information by the app and Google,control,access
1104,Give permission to transfer data,give,permission
1105,Choose your preferred option from the menu,choose,option
1106,Review the option available within the TTalk app,review,option
1107,Choose an option from the menu,choose,option
1108,Enable email notification to receive best deal and weekly special,enable,notification
1109,Click checkbox to get best deal notification,get,notification
1110,Choose to opt for weekly Newslater and email,opt,Newslater
1111,Manage Bluetooth Notifier Setting,manage,setting
1112,Read about the Bluetooth notifier or manage setting,manage,setting
1113,Activate or deactivate Bluetooth detection,activate,detection
1114,View and explore to buy ticket on flightnetwork,buy,ticket
1115,Buy ticket for San Francisco to Sydney,buy,ticket
1116,Buy ticket of flight,buy,ticket
1117,Enter email and password to sign in to access account,access,account
1118,Enter Email and Password to Sign in,sign,in
1119,Sign in to your account,sign,in
1120,Explore or Share Panchatantra Story,share,story
1121,Select the panchtantra story to read,read,story
1122,Read Panchatantra Story,read,story
1123,Adjust Notification Setting,adjust,setting
1124,View Caller information,view,information
1125,Manage caller information,manage,information
1126,Select the desired weight and height,select,weight
1127,Set weight and height and press ok,set,weight
1128,Select weight and height for track pregnancy,track,pregnancy
1129,Click the 'Set Location' button to designate the location,set,location
1130,Set location to view the movie Moana,set,location
1131,Set location to receive movie notification,set,location
1132,Enter detail to sign up on livestar,sign,up
1133,Tap on continue to sign up on livestar,sign,up
1134,Sign up for Livestar,sign,up
1135,Click START NOW or SKIP to move on to the next step,skip,step
1136,Click on 'Start Now' or 'Skip' button to get notification update,get,update
1137,Press any of the four button to proceed,press,button
1138,Follow step for notification set up,follow,step
1139,View massage from the navigation menu,view,massage
1140,Review Raphael Tan's message or switch to Alert or Connection,review,message
1141,Manage and check the message or connection,manage,message
1142,SIgn in with Google to add note or rating etc.to inspirational short story,add,note
1143,Sign-in with Google account,sign,in
1144,Sign in using your Google account,sign,in
1145,The expected standard is that the icon should be easy to understand and visually appealing. In the current design the icon are too small and too detailed making them difficult to understand. To fix this the designer should use larger icon and simpler design,use,icon
1146,Read and explore Los Angeles,explore,Los
1147,Explore the news article in Los Angeles,explore,article
1148,Library for exercise,exercise,library
1149,Select from the library exercise,select,exercise
1150,Select option from the list of exercise,select,option
1151,Explore all product option and select to shop,shop,product
1152,Check out the various store item,check,item
1153,View product category list,view,list
1154,Select product from the category,select,product
1155,Select a product from Men's collection,select,product
1156,Select product from the option,select,product
1157,Check the recent history information,check,information
1158,Review the Browse history,review,history
1159,Explore Your Viewing History,explore,history
1160,Search and check out the Men's fashion item to buy,check,item
1161,Explore men's fashion,explore,fashion
1162,Search for men's fashion product,search,product
1163,Choose the photo and city name for Adding a Popular Place,add,place
1164,Add popular destination and view stunning photo while checking the weather,add,destination
1165,Check the information related to Deer Call,check,information
1166,Discover information about Deer Call,discover,information
1167,Browse the list of Quran scholar or reciter or translator,browse,list
1168,Choose from the available option to listen to the Holy Quran,listen,Quran
1169,Explore Holy Quran reciter list,explore,list
1170,Track and manage your grade with Grade tracker pro,manage,grade
1171,Explore selected option,explore,option
1172,Select Course management option in Grade Tracker Pro app,select,option
1173,Explore Grade Tracker Pro menu option,explore,option
1174,Explore the option listed in the Menu bar within Grade Tracker Pro,explore,option
1175,View sidebar menu of grade tracker pro,view,menu
1176,Manage headset setting,manage,setting
1177,Manage Setting,manage,setting
1178,Adjust the setting,adjust,setting
1179,Select an option from below to share suggestion,share,suggestion
1180,Select an option to share,share,option
1181,share with the available app option,share,option
1182,Find the perfect greeting to express yourself in different situation,find,greeting
1183,Learn greeting in korean or mark favourite,learn,greeting
1184,Select your perfect Korean greeting,select,greeting
1185,Read the Privacy Policy Term and either Decline it or Accept it,read,term
1186,Decline or accept the privacy policy,accept,policy
1187,View privacy policy and disclaimer,view,policy
1188,Manage setting,manage,setting
1189,Manage setting,manage,setting
1190,Change the setting,change,setting
1191,Read Bible SDAH devotional verse,read,verse
1192,Click the '+' button to read more,read,more
1193,Read a verse from the bible,read,verse
1194,Manage Your Setting,manage,setting
1195,Explore the setting available in the General Setting menu,explore,setting
1196,Manage the setting,manage,setting
1197,Explore App Information,explore,information
1198,Access app information,access,information
1199,Click to create profile,create,profile
1200,Set profile photo to create profile,set,photo
1201,Create a new profile or select an account,create,profile
1202,Click on the 'Start' button to Track Labor Contraction time,track,time
1203,Track and explore contraction,track,contraction
1204,Start the timer and track the contraction,track,contraction
1205,Tap to load more data within the Hygiene section,load,data
1206,View hygiene history of the day,view,history
1207,Select an option to explore,explore,option
1208,Enter your mobile number to proceed to “Next”,enter,number
1209,Enter mobile number to proceed,enter,number
1210,Enter the mobile phone number and proceed,enter,number
1211,Explore the shopping app by swiping left and right,explore,app
1212,Read and or press skip to proceed,read,proceed
1213,Skip to View Next page,skip,page
1214,Read article on Flan's Mod 5.3 Rank Update published by Minecraft Forum,read,article
1215,Read the article on Minecraft forum,read,article
1216,View website of Minecraftforum,view,website
1217,Enter your login detail then click Next to access Zinio for Library,access,Zinio
1218,Review error and take action,review,error
1219,Browse Zinio for Library,browse,Zinio
1220,Explore the animal bookmark,explore,bookmark
1221,Enter the name and view different Animal,view,animal
1222,Search Animal Image,search,image
1223,Play music by Artist name or explore more via Album song and playlist,play,music
1224,Play a new beginning audio from the list,play,audio
1225,Play a song from the list,play,song
1226,Set up a new Whistle or Check email and click on 'Accept' or Connect with the Community,set,whistle
1227,Choose from the various option to proceed,choose,option
1228,Set a new Whistle and connect with the community,set,whistle
1229,Set or manage the Timer,manage,timer
1230,View and manage tabata timer detail,manage,detail
1231,View the detail about the timer,view,detail
1232,Copy contact to be safe,copy,contact
1233,View my contact page,view,page
1234,Copy contact to keep it safe,copy,contact
1235,Take or select photo from gallery to Setup Profile,select,photo
1236,Set profile picture from the gallery or by taking a photo,set,picture
1237,Set profile photo from the given option,set,photo
1238,Choose from below listed quick link option for help,choose,option
1239,Explore or manage help -quick link,manage,link
1240,Explore the help option,explore,option
1241,Click to Add your First Catch to unlock profile,add,catch
1242,Click to add fish catch status,add,status
1243,alick on add your first catch to unlock your profile,add,catch
1244,Explore JA Sensei app feature,explore,feature
1245,Select an option of JA Sensai to learn,learn,Sensai
1246,Learn Japanese,learn,Japanese
1247,Notify me to get important update,notify,me
1248,Manage notification setting,manage,setting
1249,Manage notification setting,manage,setting
1250,Join with the available option or Sign in with the existing one,join,option
1251,Join or sign in using Facebook Google or email,join,email
1252,Join the account with the available social medium option,join,account
1253,Explore PeakHealth to read about fitness,read,fitness
1254,Read or know more about the option under fitness,read,option
1255,Select an option to explore,explore,option
1256,View valentine love Emoji,view,Emoji
1257,Add favorite or share a Valentine emogi,add,favorite
1258,Share valentine love emoji,share,emoji
1259,Fill in the blank to review the test result of C# Language,review,result
1260,Fill in the blank about writing code and check answer,check,answer
1261,Practice Coding Test and Check Result,check,result
1262,Search and explore different Course,explore,course
1263,Explore course or select a video to watch,select,video
1264,View a list of course to play,view,list
1265,Choose your preferred option from the menu,choose,option
1266,Explore the available option,explore,option
1267,View or manage advanced feature for the app,manage,feature
1268,View diagnostic log,view,log
1269,Click to pick or accept incoming call,accept,call
1270,Identify category of incoming call,identify,category
1271,View the Page,view,page
1272,Select the People from the Provided Option,select,people
1273,Choose People and check,choose,people
1274,Choose the right image for people,choose,image
1275,Track the contact,track,contact
1276,Track and view contact calender,track,calendar
1277,Select a duck call option for hunting,select,option
1278,Explore Quack call or select other option from Call switch to Instruction or view more,explore,call
1279,Select call option from various call option,select,option
1280,Browse Latest to watch from the movie list,browse,latest
1281,View the movie that are currently played,view,movie
1282,View the list of movie that are playing now,view,list
1283,Set and Manage Timer Detail,manage,detail
1284,Manage HIIT timer,manage,timer
1285,View detail about the timer,view,detail
1286,Enter your name in the provided field and upload your profile picture,upload,picture
1287,Manage and enter required detail to set profile,set,profile
1288,Update profile,update,profile
1289,Click Get Started or I already have an account,get,started
1290,Choose an option to proceed,choose,option
1291,Login or create a new account,create,account
1292,Click to Enable Notification for Update,enable,notification
1293,Click on 'Enable Notification' button to get instant update or click on 'Skip for now' link,enable,notification
1294,Enable notification for instant update,enable,notification
1295,Explore homepage to see trending hashtag and recent post,explore,homepage
1296,View home page of TYT,view,page
1297,Explore the trending or recent post,explore,post
1298,Enter number(mathematical problem) using the keyboard and calculate it,calculate,number
1299,Enter number to calculate it on MathPapa,calculate,number
1300,Use MathPapa Calculator,use,calculator
1301,Enter credential to set a passcode or skip setting,set,passcode
1302,Enter digit to set password,set,password
1303,Set a passcode,set,passcode
1304,Enter credential to login,login,credential
1305,Enter your credential to Login,login,credential
1306,Enter detail to Login to Guardzilla,login,Guardzilla
1307,Check average consumption of fuel and driving cost,check,consumption
1308,View the statistic for fuel consumption,view,statistic
1309,View average consumption of fuel,view,consumption
1310,Select an option from the list to shop,shop,option
1311,Select the option available under shop,select,option
1312,Select donation option to donate,select,option
1313,View and explore product description to buy the product,explore,description
1314,View a product page for shoe,view,page
1315,Select size to buy shoe,buy,shoe
1316,Choose an option to manage,choose,option
1317,View more option of All comic,view,option
1318,View comic list,view,list
1319,Browse option under Help section,browse,option
1320,Explore the help option provided,explore,option
1321,Explore help option,explore,option
1322,Manage setting,manage,setting
1323,Select an option from setting menu,select,option
1324,Manage the setting,manage,setting
1325,View instant play of spuul,view,play
1326,Continue watching or start something new,continue,watching
1327,Click to continue watching or select a new movie,continue,watching
1328,Explore true religion product,explore,product
1329,Select category for a clothing store called True Religion,select,category
1330,Explore Women's and Men's collection,explore,collection
1331,Click the 'Confirm' button to lock in your selection,lock,selection
1332,Confirm date from 17 February to 3 March,confirm,date
1333,Select Date from calendar,select,date
1334,Select departure date to plan your trip,plan,trip
1335,Choose the departure date,choose,date
1336,Select departure date,select,date
1337,Enter your credential to proceed Next,proceed,next
1338,Enter the detail and click Next to create a new account,create,account
1339,Enter detail to create account,create,account
1340,View game date wise between different Team,view,game
1341,Check the NFL score for game played by the Lion in the Game section,check,score
1342,View lion score card,view,card
1343,Explore below listed option in Category section,explore,option
1344,Browse through the available category within the CCTV section,browse,category
1345,Select Category to view result,view,result
1346,Sign In account with Your given App option,sign,account
1347,Sign in through available social medium option,sign,in
1348,Choose option to sign in,sign,in
1349,Explore prayer to view,explore,prayer
1350,Set prayer time,set,time
1351,Enter your company user id password and Traveler server information,enter,id
1352,Enter your detail and click Login,login,detail
1353,Log in into IBM verse,log,in
1354,View bookmark detail,view,detail
1355,View bookmark or search for any,view,bookmark
1356,View bookmark entry,view,entry
1357,Enter a location to browse apartment access pricing tool or add favorite,access,tool
1358,Enter the city zip or neighborhood to search,search,neighborhood
1359,Search apartment in Texas,search,apartment
1360,Browse or Explore Movie,explore,movie
1361,Explore video on the Home tab or switch tab in the CineTrailer.tv app,explore,video
1362,Explore movie video,explore,video
1363,Search Word fibertigibet meaning using English dictionary or re-enter the correct word to find meaning,search,meaning
1364,Search and explore English dicrionary,explore,dicrionary
1365,Find word in English dictionary,find,word
1366,Enter detail to Join or sign in if already have an account,join,detail
1367,Enter detail and click 'Join Now' or 'Sign In' to join LinkedIn,join,LinkedIn
1368,Sign-up or Sign-in for Linkedin,sign,up
1369,Enter detail and click on Next button,enter,detail
1370,Enter country name location and phone number to proceed next,enter,name
1371,Select country code location and insert phone number to proceed,insert,number
1372,click to 'Join now' or 'Sign In' to LinkedIn,join,now
1373,Join now or sign in using the button,join,now
1374,Click the button to sign in or join LinkedIn,sign,in
1375,Create profile with email,create,profile
1376,View the error message to make Username and Email correction,make,correction
1377,Explore or Discover Our Product,discover,product
1378,Explore the product available within the Product tab,explore,product
1379,Choose a product to view more information,view,information
1380,Browse the latest auto news,browse,news
1381,View Auto news article,view,article
1382,Explore auto news,explore,news
1383,Select zodiac sign to explore,explore,sign
1384,Select your sign to explore,explore,sign
1385,Get Your Daily Horoscope:,get,horoscope
1386,Explore the menu option within iHeartRadio,explore,option
1387,View the side menu option,view,option
1388,View sidebar menu for iheart radio,view,menu
1389,Click Create Account and enter your detail to set up your new account,create,account
1390,Enter detail for create an account,create,account
1391,Enter the detail to create account,create,account
