id,task_category,comments_category,comment_problem,comment_verb,comment_obj,aesthetics_rating,usability_rating,design_quality_rating,learnability,efficency
545,Location and Travel,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,similar graphic,7,7,7,4.0,4
547,Location and Travel,Usability of Buttons,button or icon allow user to see current location,omit,button or icon allow user to see current location,6,6,6,3.0,3
549,Customization of app settings and preferences,Text Readability,heading,increase,current button size,5,5,5,3.0,2
550,Customization of app settings and preferences,Usability of Buttons,button or icon allow user to see current location,resize,button or icon allow user to see current location,6,6,6,3.0,3
551,Customization of app settings and preferences,Usability of Buttons,space element,uniform font style to be use consistently,space element,6,7,7,4.0,4
552,Media and content interaction,Layout,advertisement,move,advertisement,7,7,7,3.0,4
553,Media and content interaction,Layout,purpose and function,arrange,purpose and function,2,4,3,2.0,2
554,Media and content interaction,Layout,advertisement,button place,current ad section,6,6,6,4.0,4
555,Media and content interaction,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,3,4,3,2.0,2
557,Media and content interaction,Layout,text color contrast,uniform font style to be use consistently,text color contrast,5,5,5,2.0,2
558,Media and content interaction,Layout,ranking text,increase,current button size,6,6,6,3.0,3
559,Media and content interaction,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,3,4,3,2.0,2
560,Media and content interaction,Layout,placeholder image or alternative visual content,have,current button size,6,6,6,3.0,3
561,Media and content interaction,Usability of Buttons,current button size,increase,current button size,6,6,6,3.0,3
562,Media and content interaction,Usability of Buttons,current lack,create button,user-friendly menu system,7,7,7,4.0,3
564,Accessing and managing information,Color Contrast,location tab,increase,separate background,6,6,6,3.0,3
567,Exploration and Navigation,Usability of Buttons,current button size,increase,current button size,6,5,6,2.0,3
568,Accessing and managing information,Usability of Buttons,product,separation,product,5,5,5,3.0,2
570,User account management,Usability of Buttons,current lack,add,vibrant and eye-catch color,3,4,3,2.0,2
573,Exploration and Navigation,Color Contrast,ranking text,increase,separate background,7,7,7,3.0,4
574,Exploration and Navigation,Layout,separate background,change,text color contrast,6,5,6,2.0,3
575,Exploration and Navigation,Color Contrast,separate background,choose,positioning use design software to ensure alignment,7,7,7,4.0,4
576,User account management,Usability of Buttons,ranking text,adjust,text color contrast,5,6,5,3.0,3
577,User account management,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,7,6,7,3.0,3
578,Accessing and managing information,Layout,setting bar,align,setting bar,5,5,5,3.0,2
579,Accessing and managing information,Usability of Buttons,two label,shorten,two label,6,7,6,3.0,4
580,Accessing and managing information,Layout,breakfast icon,adjust,systematic arrangement,6,6,6,3.0,3
581,Media and content interaction,Layout,breakfast icon,contain,breakfast icon,6,6,6,3.0,3
583,Media and content interaction,Layout,positioning use design software to ensure alignment,apply,consistent margin,7,7,7,4.0,4
585,Customization of app settings and preferences,Text Readability,heading,change,text color contrast,7,8,7,4.0,4
586,Customization of app settings and preferences,Usability of Buttons,ranking text,adjust,text color contrast,5,5,5,3.0,3
588,Customization of app settings and preferences,Learnability,current button size,increase,current button size,3,5,4,2.0,3
589,Customization of app settings and preferences,Layout,more readable font,uniform font style to be use consistently,more readable font,5,4,5,2.0,2
590,Exploration and Navigation,Layout,ranking text,increase,current button size,3,4,3,2.0,2
591,Exploration and Navigation,Layout,button or icon allow user to see current location,improve,legibility,6,5,6,2.0,3
592,Exploration and Navigation,Color Contrast,ranking text,increase,current button size,6,6,6,4.0,4
593,Customization of app settings and preferences,Learnability,ranking text,increase,current button size,6,6,6,3.0,3
597,Customization of app settings and preferences,Color Contrast,text color contrast,adjust,text color contrast,6,6,6,3.0,3
598,Customization of app settings and preferences,Learnability,text color contrast,adjust,text color contrast,8,7,8,4.0,4
602,Customization of app settings and preferences,Usability of Buttons,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
603,Customization of app settings and preferences,Usability of Buttons,positioning use design software to ensure alignment,add,breakfast icon,6,6,6,3.0,3
605,Customization of app settings and preferences,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
607,Customization of app settings and preferences,Text Readability,heading,change,text color contrast,7,7,7,4.0,3
608,Media and content interaction,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
609,Media and content interaction,Usability of Buttons,breakfast icon,change,text color contrast,4,6,5,3.0,3
613,Customization of app settings and preferences,Learnability,breakfast icon,give,similar graphic treatment,6,7,7,4.0,4
616,Exploration and Navigation,Layout,title shopping cart,increase,current button size,6,6,6,3.0,3
617,Exploration and Navigation,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
618,Exploration and Navigation,Layout,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
619,Accessing and managing information,Text Readability,ranking text,increase,current button size,7,7,7,4.0,3
620,Exploration and Navigation,Learnability,ranking text,increase,current button size,6,6,6,3.0,3
621,Exploration and Navigation,Usability of Buttons,two label,change,text color contrast,5,8,6,4.0,4
622,Exploration and Navigation,Usability of Buttons,breakfast icon,give,similar graphic treatment,5,4,4,2.0,2
623,Customization of app settings and preferences,Color Contrast,miss checkbox icon,add,appropriate icon clearly represent function,7,7,7,4.0,3
625,Customization of app settings and preferences,Learnability,uniform font style to be use consistently,change,more concise language,8,8,8,4.0,4
628,Accessing and managing information,Learnability,call,change,text color contrast,5,5,5,4.0,4
629,Location and Travel,Layout,ranking text,change,ranking text,7,7,7,3.0,4
630,Location and Travel,Text Readability,stand highlight,enlarge,stand highlight,6,5,6,2.0,3
631,Accessing and managing information,Color Contrast,breakfast icon,change,breakfast icon,6,6,6,4.0,3
632,Accessing and managing information,Layout,clear and functional checkbox,increase,dimension,5,5,5,3.0,2
634,Accessing and managing information,Layout,positioning use design software to ensure alignment,thorough redesign,positioning use design software to ensure alignment,5,5,5,2.0,3
635,Exploration and Navigation,Layout,menu option layout,adjust,menu option layout,6,6,6,3.0,3
636,Exploration and Navigation,Layout,hamburger Menu,enlarge,hamburger Menu,5,5,5,2.0,2
638,User account management,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
639,User account management,Color Contrast,ranking text,change,ranking text,7,7,7,3.0,4
641,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
642,User account management,Layout,essential content,establish,clear right edge,5,5,5,3.0,2
645,Media and content interaction,Text Readability,item load but lack proper visual-blank image,uniform font style to be use consistently,item load but lack proper visual-blank image,5,5,5,3.0,2
647,Media and content interaction,Layout,current button size,increase,current button size,6,6,6,3.0,3
649,Media and content interaction,Layout,clean and more organized look,add,placeholder image or alternative visual content,5,4,5,2.0,2
650,Media and content interaction,Layout,ranking text,increase,current button size,6,6,6,3.0,3
651,Media and content interaction,Layout,current lack,add,vibrant and eye-catch color,3,4,3,2.0,2
656,Accessing and managing information,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
657,Accessing and managing information,Layout,news section,add,clear right edge,6,6,6,3.0,3
661,Customization of app settings and preferences,Learnability,ranking text,shorten,ranking text,6,7,6,3.0,4
662,Exploration and Navigation,Color Contrast,ranking text,increase,same font size / type / color weight,6,6,6,3.0,3
663,Exploration and Navigation,Text Readability,appropriate icon clearly represent function,increase,current button size,7,6,7,3.0,3
664,Exploration and Navigation,Layout,current button size,increase,current button size,6,6,6,3.0,3
665,Media and content interaction,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
668,Media and content interaction,Layout,ranking text,increase,current button size,6,6,6,3.0,3
669,Media and content interaction,Text Readability,screen,thorough redesign,positioning use design software to ensure alignment,5,4,5,2.0,2
670,Media and content interaction,Layout,ranking text,increase,consistent margin,5,5,5,3.0,2
671,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
672,Exploration and Navigation,Layout,button or icon allow user to see current location,add,boundary,4,6,5,3.0,3
673,Exploration and Navigation,Usability of Buttons,text color contrast,ensure,placeholder image or alternative visual content,7,6,7,3.0,3
674,Location and Travel,Layout,facebook app,add,facebook app,5,5,5,3.0,2
677,Location and Travel,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
678,User account management,Layout,ranking text,uniform font style to be use consistently,text color contrast,7,7,7,4.0,3
680,Location and Travel,Color Contrast,ranking text,increase,current button size,3,4,3,2.0,2
681,Exploration and Navigation,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,5,5,5,3.0,2
682,Exploration and Navigation,Usability of Buttons,Add Location button,update,Add Location button,6,6,6,3.0,3
683,Exploration and Navigation,Layout,plus symbol,replace,plus symbol,8,8,8,4.0,4
685,Exploration and Navigation,Layout,Update Questions button,emphasize,Update Questions button,5,5,5,3.0,2
686,Exploration and Navigation,Color Contrast,ranking text,change,ranking text,7,7,7,3.0,4
687,Exploration and Navigation,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
688,Exploration and Navigation,Text Readability,ranking text,increase,current button size,5,4,5,2.0,2
689,Exploration and Navigation,Layout,positioning use design software to ensure alignment,reintegrate,clear layout and intuitive navigation,5,5,5,3.0,2
690,Exploration and Navigation,Color Contrast,breakfast icon,resize,text color contrast,6,6,6,3.0,3
691,Exploration and Navigation,Color Contrast,breakfast icon,adjust,text color contrast,6,6,6,3.0,3
694,User account management,Color Contrast,choice,choose,text color contrast,5,5,5,2.0,3
695,Customization of app settings and preferences,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
697,Customization of app settings and preferences,Layout,current button size,establish,current button size,8,8,8,4.0,4
698,Accessing and managing information,Learnability,ranking text,increase,ranking text,6,6,6,3.0,3
699,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,emphasize,button or icon allow user to see current location,6,6,6,3.0,3
700,Accessing and managing information,Color Contrast,ranking text,increase,current button size,6,6,6,4.0,4
701,Media and content interaction,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
702,Media and content interaction,Color Contrast,uniform font style to be use consistently,change,text color contrast,5,6,6,3.0,3
703,Media and content interaction,Color Contrast,ranking text,be,text color contrast,4,4,4,4.0,4
704,Customization of app settings and preferences,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
705,Customization of app settings and preferences,Layout,clear and functional checkbox,add,scroll bar or way for user to navigate,3,4,3,2.0,2
706,Customization of app settings and preferences,Layout,ringtonecutter,correct,error and omission except,7,7,7,4.0,4
707,Accessing and managing information,Layout,purpose and function,reintroduce,consistent margin,4,4,4,2.0,2
709,User account management,Color Contrast,ranking text,increase,spacing,5,6,5,3.0,3
712,Media and content interaction,Layout,text color contrast,change,color weight,6,6,6,3.0,4
713,Media and content interaction,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
714,Customization of app settings and preferences,Layout,item load but lack proper visual-blank image,increase,current button size,1,2,1,1.0,1
715,Media and content interaction,Layout,current button size,increase,current button size,5,5,5,3.0,3
716,User account management,Layout,miss element,offer,clear layout and intuitive navigation,7,7,7,4.0,3
718,Exploration and Navigation,Learnability,positioning use design software to ensure alignment,insert,clear and functional checkbox,4,5,5,3.0,3
719,Exploration and Navigation,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,4,4,4,2.0,2
720,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,change,button or icon allow user to see current location,4,7,5,4.0,3
721,Exploration and Navigation,Color Contrast,positioning use design software to ensure alignment,give,header and sub header,4,4,4,4.0,4
723,Exploration and Navigation,Learnability,purpose and function,add,ranking text,6,6,6,3.0,3
724,Exploration and Navigation,Layout,text field,uniform font style to be use consistently,grid or baseline,5,5,5,3.0,2
726,User account management,Color Contrast,ranking text,adjust,text color contrast,6,6,6,3.0,3
727,User account management,Text Readability,separate background,choose,positioning use design software to ensure alignment,6,5,6,2.0,3
728,Accessing and managing information,Layout,unnecessarily large font,reduce,space element,6,6,6,3.0,3
732,User account management,Usability of Buttons,absence,reintegrate,breakfast icon,6,6,6,3.0,3
734,Accessing and managing information,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
735,Accessing and managing information,Layout,star icon,resize,star icon,6,6,6,3.0,3
738,Accessing and managing information,Learnability,breakfast icon,give,similar graphic treatment,5,6,6,3.0,3
739,Accessing and managing information,Color Contrast,favorite lyric icon,adjust,text color contrast,7,8,7,3.0,4
740,Accessing and managing information,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
741,Accessing and managing information,Layout,ranking text,uniform font style to be use consistently,space element,5,5,5,2.0,3
743,Accessing and managing information,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
744,Location and Travel,Layout,text and title,change,text and title,7,7,7,4.0,3
745,Location and Travel,Text Readability,color weight,increase,color weight,6,6,6,3.0,3
746,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
747,User account management,Usability of Buttons,breakfast icon,update,breakfast icon,6,6,6,3.0,3
748,User account management,Color Contrast,uniform font style to be use consistently,uniform font style to be use consistently,current button size,7,8,8,4.0,4
749,Exploration and Navigation,Learnability,ranking text,increase,current button size,6,6,6,3.0,3
750,Media and content interaction,Learnability,heading,positioning use design software to ensure alignment,text and title,4,6,5,3.0,3
751,Media and content interaction,Layout,login and logo,increase,current button size,5,5,5,3.0,3
752,Location and Travel,Layout,"more common language , such",add,miss element,4,4,4,2.0,2
758,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
759,Accessing and managing information,Text Readability,text color contrast,adjust,text color contrast,6,6,6,3.0,3
760,Exploration and Navigation,Color Contrast,breakfast icon,adjust,systematic arrangement,6,6,6,3.0,3
761,Exploration and Navigation,Layout,text color contrast,change,color weight,6,6,6,3.0,3
762,Accessing and managing information,Usability of Buttons,breakfast icon,increase,spacing,6,6,6,3.0,3
763,Exploration and Navigation,Layout,text color contrast,change,color weight,8,8,8,4.0,4
766,Accessing and managing information,Usability of Buttons,purpose and function,have,element label Unknown,7,8,8,4.0,4
767,Exploration and Navigation,Layout,text Baby Shower and Mother,improve,clear and functional checkbox,7,7,7,3.0,4
768,Exploration and Navigation,Layout,location tab,increase,separate background,6,6,6,3.0,3
770,Exploration and Navigation,Color Contrast,ranking text,change,ranking text,7,7,7,4.0,3
771,Exploration and Navigation,Layout,ranking text,adjust,text color contrast,4,4,4,2.0,2
772,Exploration and Navigation,Color Contrast,text color contrast,increase,distribution ratio,7,7,7,4.0,4
773,User account management,Text Readability,current button size,increase,current button size,5,5,5,2.0,3
774,User account management,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
775,Location and Travel,Text Readability,ranking text,increase,current button size,6,5,6,3.0,3
776,Customization of app settings and preferences,Color Contrast,ranking text,adjust,separate background,5,5,5,2.0,3
777,Customization of app settings and preferences,Text Readability,unnecessarily large font,reduce,space element,6,6,6,3.0,3
778,Customization of app settings and preferences,Text Readability,ranking text,increase,current button size,6,6,6,4.0,4
780,Media and content interaction,Learnability,cross button,adjust,text color contrast,6,6,6,3.0,3
783,Exploration and Navigation,Layout,highlighted section,reintegrate,separate background,4,4,4,2.0,2
786,Accessing and managing information,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
787,Accessing and managing information,Text Readability,choice,have,text color contrast,7,7,7,4.0,4
788,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
789,Customization of app settings and preferences,Layout,unnecessarily large font,increase,current button size,4,4,4,2.0,2
791,User account management,Layout,text color contrast,match,headline and rest,7,7,7,3.0,4
792,User account management,Layout,button or icon allow user to see current location,enlarge,current button size,6,5,6,2.0,3
793,User account management,Layout,distinguish,reintegrate,purpose and function,7,7,7,4.0,4
795,Exploration and Navigation,Text Readability,current button size,increase,current button size,6,5,6,2.0,3
797,Exploration and Navigation,Color Contrast,ranking text,increase,separate background,7,7,7,4.0,3
799,Exploration and Navigation,Layout,related content item,be,ingredient,4,4,4,4.0,4
800,User account management,Layout,ranking text,increase,current button size,4,4,4,2.0,2
801,User account management,Layout,button or icon allow user to see current location,add,button or icon allow user to see current location,5,5,5,3.0,2
802,User account management,Text Readability,separate background,choose,positioning use design software to ensure alignment,6,5,6,2.0,3
803,User account management,Layout,positioning use design software to ensure alignment,add,clear close icon,6,6,6,3.0,3
805,User account management,Learnability,text field,be,text field,6,7,7,3.0,4
807,Exploration and Navigation,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
808,Exploration and Navigation,Layout,purpose and function,add,element label Unknown,5,4,5,2.0,2
809,Accessing and managing information,Layout,ranking text,increase,current button size,6,6,6,3.0,3
810,Accessing and managing information,Layout,purpose and function,increase,space element,5,6,5,3.0,3
811,Accessing and managing information,Layout,current button size,increase,current button size,7,7,7,4.0,4
813,Media and content interaction,Color Contrast,Share pdf,increase,separate background,6,6,6,3.0,3
814,Media and content interaction,Layout,breakfast icon,align,breakfast icon,7,7,7,4.0,4
815,Accessing and managing information,Color Contrast,uniform font style to be use consistently,change,text color contrast,6,6,6,3.0,3
816,Accessing and managing information,Text Readability,ranking text,adjust,current button size,5,5,5,3.0,2
817,Accessing and managing information,Usability of Buttons,digit,increase,current button size,5,5,5,3.0,2
820,Exploration and Navigation,Layout,breakfast icon,change,same font size / type / color weight,7,7,7,3.0,4
821,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,add,button or icon allow user to see current location,7,7,7,4.0,4
823,Accessing and managing information,Layout,purpose and function,align,heading,5,5,5,3.0,2
825,Exploration and Navigation,Usability of Buttons,login and logo,enlarge,login and logo,6,6,6,3.0,3
826,Exploration and Navigation,Usability of Buttons,breakfast icon,add,breakfast icon,5,5,5,3.0,2
828,Customization of app settings and preferences,Layout,ranking text,increase,current button size,6,6,6,3.0,3
829,Customization of app settings and preferences,Text Readability,stand highlight,enlarge,setting bar,5,4,5,2.0,2
831,Media and content interaction,Layout,positioning use design software to ensure alignment,reintegrate,button or icon allow user to see current location,6,6,6,3.0,3
834,Media and content interaction,Color Contrast,ranking text,increase,separate background,6,6,6,3.0,3
835,Media and content interaction,Text Readability,breakfast icon,resize,breakfast icon,6,6,6,3.0,3
836,Customization of app settings and preferences,Layout,ranking text,align,ranking text,6,6,6,3.0,3
837,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,change,text color contrast,4,4,4,2.0,2
838,Customization of app settings and preferences,Layout,ranking text,increase,current button size,5,4,5,2.0,2
839,Exploration and Navigation,Layout,clear and functional checkbox,add,scroll bar or way for user to navigate,5,5,5,3.0,2
840,Exploration and Navigation,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
842,User account management,Layout,uniform font style to be use consistently,improve,space element,7,7,7,3.0,4
843,User account management,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,5,4,5,2.0,2
847,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,5,6,3.0,3
850,Exploration and Navigation,Layout,breakfast icon,contain,breakfast icon,6,6,6,3.0,3
853,Accessing and managing information,Layout,date,apply,same formatting,4,4,4,2.0,2
854,Accessing and managing information,Usability of Buttons,breakfast icon,change,breakfast icon,8,8,8,4.0,4
856,Customization of app settings and preferences,Layout,positioning use design software to ensure alignment,add,button or icon allow user to see current location,6,6,6,3.0,3
857,Customization of app settings and preferences,Usability of Buttons,breakfast icon,add,breakfast icon,8,8,8,4.0,4
858,Exploration and Navigation,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
859,Media and content interaction,Layout,item load but lack proper visual-blank image,uniform font style to be use consistently,item load but lack proper visual-blank image,5,5,5,3.0,2
861,Accessing and managing information,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
862,Accessing and managing information,Color Contrast,question mark icon,align,question mark icon,5,5,5,3.0,2
863,Accessing and managing information,Color Contrast,positioning use design software to ensure alignment,change,text color contrast,5,5,5,2.0,3
864,Media and content interaction,Text Readability,ranking text,increase,ranking text,5,6,6,3.0,3
865,Media and content interaction,Color Contrast,ranking text,increase,separate background,5,5,5,3.0,2
866,Media and content interaction,Usability of Buttons,forgot password button,improve,placeholder image or alternative visual content,5,5,5,3.0,2
867,Exploration and Navigation,Learnability,text and title,change,text and title,7,7,7,3.0,4
871,Customization of app settings and preferences,Layout,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
872,Customization of app settings and preferences,Layout,header and sub header,create button,highlighted section,6,6,6,3.0,3
873,Accessing and managing information,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
874,Accessing and managing information,Color Contrast,breakfast icon,improve,separate background,6,6,6,3.0,3
875,Accessing and managing information,Layout,current button size,increase,current button size,7,6,7,3.0,3
876,Location and Travel,Usability of Buttons,breakfast icon,add,two label,6,6,6,3.0,3
879,Media and content interaction,Layout,ranking text,increase,current button size,6,6,6,3.0,3
880,Accessing and managing information,Layout,text color contrast,change,separate background,4,6,5,3.0,3
881,Media and content interaction,Layout,ranking text,increase,current button size,5,4,5,2.0,2
884,Exploration and Navigation,Usability of Buttons,continue,uniform font style to be use consistently,ranking text,4,4,4,4.0,4
885,Accessing and managing information,Learnability,breakfast icon,increase,setting bar,6,6,6,3.0,3
886,Accessing and managing information,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
888,Accessing and managing information,Layout,systematic arrangement,move,related content item,7,7,7,3.0,4
889,Exploration and Navigation,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
892,Accessing and managing information,Layout,disabled option,add,placeholder image or alternative visual content,6,6,6,3.0,3
893,Exploration and Navigation,Layout,current lack,align,essential content,8,7,7,4.0,4
894,Media and content interaction,Layout,ranking text,increase,current button size,3,4,3,2.0,2
895,Media and content interaction,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,5,5,5,2.0,3
898,Accessing and managing information,Text Readability,current button size,increase,current button size,6,5,6,2.0,3
899,Accessing and managing information,Layout,purpose and function,add,uneven padding,7,6,7,3.0,2
900,Customization of app settings and preferences,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
901,Customization of app settings and preferences,Layout,text Wealth & prosperity and Anti-stresscolor,be,same,7,7,7,3.0,4
902,Exploration and Navigation,Text Readability,more readable font,increase,current button size,8,8,8,4.0,4
904,User account management,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
906,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
907,Exploration and Navigation,Layout,ranking text,leave alignment,ranking text,7,7,7,3.0,4
908,Exploration and Navigation,Layout,setting bar,button place,setting bar,4,4,4,4.0,4
912,User account management,Color Contrast,positioning use design software to ensure alignment,increase,separation line,7,7,7,3.0,4
913,User account management,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
914,User account management,Text Readability,ranking text,make,ranking text,6,6,6,3.0,3
915,Location and Travel,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,3,4,3,2.0,2
916,Location and Travel,Layout,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
919,Customization of app settings and preferences,Layout,current lack,adjust,consistent margin,6,6,6,3.0,3
920,Customization of app settings and preferences,Layout,clean and more organized look,add,placeholder image or alternative visual content,6,5,6,2.0,3
921,Media and content interaction,Layout,menu option layout,enlarge,menu option layout,6,5,6,2.0,3
922,Accessing and managing information,Layout,purpose and function,identify,purpose and function,6,6,6,3.0,3
923,Accessing and managing information,Layout,study material and discuss,change,text color contrast,7,6,6,3.0,3
924,Accessing and managing information,Layout,current button size,increase,current button size,6,5,6,2.0,3
925,Accessing and managing information,Learnability,information,add,information,5,6,5,3.0,3
926,Accessing and managing information,Text Readability,more readable font,uniform font style to be use consistently,current button size,8,8,8,4.0,4
927,Location and Travel,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
928,Location and Travel,Usability of Buttons,breakfast icon,reduce,current button size,5,5,5,3.0,2
931,Customization of app settings and preferences,Layout,purpose and function,arrange,purpose and function,3,6,5,3.0,3
932,Customization of app settings and preferences,Text Readability,separate background,choose,positioning use design software to ensure alignment,5,4,5,2.0,2
935,Customization of app settings and preferences,Layout,item load but lack proper visual-blank image,be,item load but lack proper visual-blank image,6,6,6,3.0,3
936,Exploration and Navigation,Color Contrast,group,adjust,consistent left alignment,7,7,7,4.0,3
937,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
938,Exploration and Navigation,Text Readability,list,choose,center,6,6,6,3.0,3
939,Customization of app settings and preferences,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,7,6,7,3.0,3
940,Customization of app settings and preferences,Layout,breakfast icon,increase,current button size,4,6,5,3.0,3
941,Customization of app settings and preferences,Layout,breakfast icon,be,balance,4,4,4,4.0,4
942,Location and Travel,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,4,4,4,2.0,2
947,User account management,Layout,search restaurant,button place,search restaurant,4,4,4,4.0,4
948,Customization of app settings and preferences,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,5,6,5,3.0,3
949,Customization of app settings and preferences,Layout,absence,reintegrate,breakfast icon,6,6,6,3.0,3
951,Customization of app settings and preferences,Layout,stand highlight,increase,current button size,6,5,6,2.0,3
954,User account management,Color Contrast,ranking text,change,text color contrast,6,6,6,3.0,3
956,User account management,Text Readability,ranking text,make,ranking text,6,6,6,4.0,4
958,Accessing and managing information,Layout,positioning use design software to ensure alignment,locate,information,6,6,6,3.0,3
959,Accessing and managing information,Text Readability,datum,add,spacing,5,6,6,3.0,3
961,Accessing and managing information,Layout,current button size,increase,current button size,6,6,6,3.0,3
962,Accessing and managing information,Layout,two label,remove,two label,6,6,6,3.0,3
963,Exploration and Navigation,Color Contrast,ranking text,change,text color contrast,6,6,6,3.0,3
964,Exploration and Navigation,Color Contrast,text color contrast,change,text color contrast,5,8,7,4.0,4
966,Accessing and managing information,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
967,Exploration and Navigation,Color Contrast,ranking text,increase,separate background,6,6,6,3.0,3
968,Exploration and Navigation,Text Readability,ranking text,adjust,color weight,8,8,8,4.0,4
969,Location and Travel,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
970,Location and Travel,Layout,breakfast icon,adjust,text color contrast,6,6,6,3.0,3
972,Accessing and managing information,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,4,4,4,2.0,2
976,Customization of app settings and preferences,Color Contrast,choice,be,text color contrast,4,4,4,4.0,4
977,Customization of app settings and preferences,Layout,ranking text,increase,current button size,6,6,6,3.0,3
978,Customization of app settings and preferences,Layout,positioning use design software to ensure alignment,add,breakfast icon,6,6,6,3.0,3
979,Customization of app settings and preferences,Usability of Buttons,heading,add,breakfast icon,6,6,6,3.0,3
981,User account management,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
982,User account management,Layout,pop,increase,current button size,6,5,6,3.0,3
983,Accessing and managing information,Layout,more readable font,improve,legibility,7,7,7,3.0,4
984,Accessing and managing information,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
985,Accessing and managing information,Usability of Buttons,breakfast icon,make,breakfast icon,6,7,7,4.0,4
991,Media and content interaction,Layout,Truth and Dare button,make,Truth and Dare button,5,5,5,3.0,3
992,Exploration and Navigation,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
998,User account management,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1000,User account management,Layout,positioning use design software to ensure alignment,be,text field,6,6,6,4.0,4
1001,Exploration and Navigation,Layout,systematic arrangement,add,setting bar,7,7,7,3.0,4
1002,Exploration and Navigation,Usability of Buttons,location tab,increase,separate background,6,6,6,3.0,3
1004,User account management,Layout,appropriate icon clearly represent function,relocate,appropriate icon clearly represent function,4,4,4,2.0,2
1005,User account management,Layout,appropriate icon clearly represent function,relocate,appropriate icon clearly represent function,6,6,6,3.0,3
