id,task,verb,obj
772,Explore the detail about charlotte web,explore,charlotte
773,Sign in or create an account to book a hotel nearby,,
774,Click on the sign in or create account button to explore hotel and car,create,button
775,Find hotel or car,find,hotel
776,Select a goal and click on continue button,select,goal
777,Pick a daily goal from the radio button to continue,pick,goal
778,Select a daily goal from the given option,select,goal
779,Tap the continue button to translate the sentence,Tap,continue
780,Translate a sentence,translate,sentence
781,Translate the text to other language,translate,text
782,Select your identification option,select,identification
783,Select an option from the given option,select,option
784,Choose personal identification from the given option,choose,identification
785,Select an option from the list of investing style,select,style
786,Choose your investing style from the option provided : conservative moderate or aggressive,choose,investing
787,Check investment question,check,investment
788,Explore option in english marathi dictionary,,
789,Check setting feature and explore other more option,set,feature
790,View or manage setting of dictionary,manage,dictionary
791,Provide your personal information for personal identification,provide,identification
792,Provide the detail for personal identification verification,provide,verification
793,Verify personal detail for identification,verify,identification
794,Log into the teen chat room app and check the privacy policy or click on cancel and return link,log,teen
795,Explore information about teen chat room,explore,teen
796,Login to teen chat room,login,room
797,Explore todays breakfast option,today,breakfast
798,View the calorie of today breakfast,view,calorie
799,View the item in today breakfast,view,item
800,Enter detail to sign in or click on activate mobile banking or need help signing in,enter,detail
801,Enter required detail to sign in,require,detail
802,Enter detail to sing in to scotiabank,enter,detail
803,Click on the login button to access the account,,
804,Login with email and password,login,password
805,Login now,,
806,Check the availability of smartpick match or click on the view more smartpick button,check,smartpick
807,Select view more smartpick to see additional recommendation,,
808,Check or view smartpick match,view,smartpick
809,Read and watch weather forecast,watch,forecast
810,Read article on the weather forecast,,
811,Read and watch about forecast,watch,
812,Share the document to other app,share,document
813,Select a sharing method to share a pdf,select,pdf
814,Choose to share the pdf file from the given option,share,pdf
815,View the calendar of the march month for 2017,view,march
816,Make a note for 10th march 2017 and save it,make,note
817,View calendar and add note,,
818,Save note on a specific date,,
819,Select country from the below list,,
820,Select a country from the list,select,country
821,Select a country from the list,select,country
822,Check the version(new or old ) and their feature,check,
823,Check latest update summary,check,summary
824,View the detail about version,view,version
825,Explore the available option within the obd - ii check feature or click on the purchase full version button,explore,obd
826,Select an option to explore the menu,select,menu
827,Purchase new version of obd ii,purchase,obd
828,Manage the audio recorder setting,manage,recorder
829,Manage the audio recorder,manage,recorder
830,Select the audio file for auditing,select,file
831,Download video from the getvideo,,
832,Tap on the illustration to get video,,
833,Explore getvideo,,
834,Share via available option,share,option
835,Choose an option to share,choose,option
836,Select gender and stylisation from the list,,
837,Click on start or open draft to proceed,,
838,Select your preference,select,preference
839,Select an option from the given option,select,option
840,Please choose the title,choose,title
841,Choose the title from the list,choose,title
842,Click connect to explore the social medium,,
843,Choose either twitter or facebook in the social connection menu,choose,twitter
844,Show the type of social connection,show,type
845,Proceed to next page on onboarding screen,proceed,page
846,Click on next for reading offline article,,
847,Choose next option,,
848,Explore album a new beginning or switch to song,,
849,Explore greg laurie album,,
850,View album song of greg laurie,,
851,Explore the media gallery,explore,medium
852,Add fuel by entering the detail below,add,fuel
853,Enter detail to add fuel,enter,detail
854,Add fuel detail,add,fuel
855,Select the radio button next to the code you want to activate,select,radio
856,Select the currency code,select,currency
857,Select currency code,,
858,Explore the next meme or navigate back using the back button,explore,meme
859,View the meme,view,meme
860,Edit caption of the meme,,
861,Browse the meal reminder,browse,meal
862,Explore and manage meal reminder,manage,meal
863,Manage the meal reminder,manage,meal
864,Create your own music today,create,music
865,Click get started and explore music,explore,music
866,Create a new music,create,music
867,Select your desired option from the available menu choice,select,choice
868,Select an option from a list of option,select,list
869,Manage the setting,manage,setting
870,Adjust volume of bas booster,adjust,volume
871,Manage bas booster,manage,bas
872,Manage volume of bas,,
873,Read article 2017 should be good for usd published by bk asset management,,
874,Read a financial forecast written by kathy lien,read,lien
875,View the most popular article,view,article
876,Explore the top 10 russian restaurant and 13 dining place in new york,explore,dining
877,View the article on various list of restaurant,view,article
878,Browse dining option,browse,dining
879,Listen to live news on weei,listen,news
880,View the list of just in on weei live,view,list
881,Listen to article under weei,listen,article
882,Proceed with continue,,
883,Click on continue to start by adding friend from your addres book,,
884,Continue by adding friend from addres book,,
885,Tap plus button to add item to your shopping list,,
886,Click on the plus button to add item to your shopping list,,
887,View shopping list,view,shopping
888,Explore and edit your shopping list,edit,shopping
889,Click the close button to dismiss the message in the shopping list,,
890,View or manage shopping list,manage,shopping
891,Select your country from the list,select,country
892,View the list of code for country starting with a,,
893,Select a country name,select,country
894,Read the blog post do like comment and share the post,share,post
895,Read the news published on the blog,read,blog
896,Manage like or comment a blog post,comment,blog
897,Track atmospheric pressure with d barometer,,
898,Check the air pressure reading in d barometer,check,pressure
899,View or monitor the barometer and altimeter,monitor,altimeter
900,Select a category for self - growth,select,self
901,Select one or more area where we can motivate and achieve succes,,
902,Select any category,select,category
903,Find friend via contact or skip it,find,friend
904,Tap find via contact to discover friend on lively or select skip,find,contact
905,Find contact who are on lively,find,contact
906,Explore menu item,,
907,Browse the menu list to see all the available item,browse,menu
908,Search menu item and place a order at helmand palace,,
909,Click on the close or x button to close screen,click,button
910,Click on the close or x button,click,button
911,View all information about japan,view,japan
912,Sign up to be a jamba insider and get $ 3 off your first order,,
913,Click sign in to order jamba juice or sign up to create an account,,
914,Sign in or sing up to jamba juice,,
915,Enter to search and select the preferred store,,
916,Search and select preferred store,select,store
917,Search your preferred store,search,store
918,Managed bean setting,,
919,View and manage the setting,manage,setting
920,Explore option under setting,,
921,View or respond to the post by the sib clerk in the discus tab on adda247,respond,sib
922,View disucs question of adda 247,,
923,View discussion page of adda247,view,discussion
924,Enter detail to record a fill - up or click save to save the information,enter,detail
925,Fill information and save it,fill,information
926,Mileage tracker,,
927,Enter criterion to locate a store nearby,enter,criterion
928,Find a store,find,store
929,Enter your zip or city and state to find store,enter,state
930,Manage setting and update information,,
931,Manage setting for the application,,
932,Manage setting page,set,page
933,Select a wallpaper from the list,select,wallpaper
934,Select an image for wallpaper,select,wallpaper
935,Select a wallpaper,,
936,Explore the menu list,explore,menu
937,Select an option from the given list to explore,select,list
938,Select from the list to explore,,
939,Adjust the setting,adjust,setting
940,Manage setting for the app,,
941,Manage the setting,manage,setting
942,Search atm airport location and track it,,
943,Select from available option for mobile location tracker map,,
944,View mobile location tracker map option,view,tracker
945,Search the place or login to your account,search,place
946,Enter the location for apartment,enter,location
947,Login into your account to search where to live,login,account
948,Explore various type of wallpaper,explore,wallpaper
949,Select a wallpaper category to download,select,wallpaper
950,Explore quote wallpaper,,
951,Discover the option within the datum setting,discover,datum
952,View datum setting,,
953,Manage your datum setting,manage,datum
954,Read disclaimer and confirm ok,confirm,
955,Click to agree the term and condition,agree,term
956,View the term and condition for one click trading,view,term
957,Click delete to remove or confirm to save,,
958,Explore and view about selected option,view,option
959,View the summary of datum entered,,
960,Choose the start and end time for your desired time frame,choose,start
961,Record migraine start and end time then proceed to the next instance by clicking either the next or later button,end,time
962,Track the record for migraine,track,migraine
963,Click on next to proceed,,
964,Tap on next to proceed,,
965,Share shelf or moment with other,share,shelf
966,View ongoing event,view,event
967,Explore the event,explore,event
968,Go back to previous page,,
969,Manage your family location,manage,family
970,View the location of family person,view,family
971,Check your family location,check,family
972,View the abnormal detection result,view,detection
973,View report of an mri chest and abdoman scan,,
974,View full report,view,report
975,Select your basic configuration,select,configuration
976,Select basic configuration,select,configuration
977,Tap to select analog clock,,
978,Select an analog clock from collection,select,analog
979,View analog clock collection,view,analog
980,Click on buy button to upgrade the premium version by unlocking all widget theme and removing ad or click on cancel button,,
981,Tap buy to upgrade or cancel to exit,,
982,Buy or cancel to premium version,cancel,premium
983,Search for the word meaning,,
984,Discover impulsivenes in the pocket thesauru,,
985,View thesaurus for the word impulsiveness,thesauru,word
986,Explore and read about acemarkc,read,
987,View the photo of the current match,view,match
988,Check the profile,check,profile
989,Tap or click on truth or dare,click,truth
990,Select truth or dare,,
991,Select truth or dare to play,,
992,Browse all option for shopping,browse,shopping
993,Browse all option for shopping,browse,shopping
994,View category on everything shop app,view,category
995,Choose your preferred workout type from the option provided under workout # 1,choose,type
996,View different workout,view,workout
997,Follow step - by - step for workout,,
998,Enter and confirm pin to register,confirm,pin
999,Enter input to register for an account,enter,input
1000,Register account by entering detail,,
1001,Browse exercise for specific muscle group,,
1002,View exercise of body,view,body
1003,Exercise of different body part,,
1004,Update account information and add friend from the contact list,,
1005,Update account information and add friend from contact,,
1006,Connect with your friend,connect,friend
1007,Tap on the book cover of a book and add it to the bookshelf,,
1008,Add book to bookshelf,add,book
1009,Tap on the book to add in your bookshelf,,
1010,Draw a sketch with the help of tool,draw,sketch
1011,View the instructional proces on how to draw a character,,
1012,Draw as per the instruction,,
1013,Select recommended topic from the list,recommend,topic
1014,Choose five topic to explore,choose,topic
1015,Choose 5 topic from the recommended topic,choose,topic
1016,Select a method to learn korean,select,method
1017,View the side menu option for learning korean,,
1018,Select an option for learn korean,select,korean
1019,Explore nearby restaurant,explore,restaurant
1020,View nearby restaurant,view,restaurant
1021,Show the list of restaurant and bar nearby,show,restaurant
1022,Choose number of year for your car,choose,year
1023,Choose amg gt and year of the car,choose,amg
1024,Choose the car model,choose,model
1025,Search and explore fancy unique workwear to buy,explore,workwear
1026,Shop for an item,,
1027,Click to write comment and send,write,comment
1028,View and write comment,write,comment
1029,Post comment,,
1030,Select the difficulty level and click on the save or cancel button,select,difficulty
1031,Choose an option and click save or cancel,choose,option
1032,Choose the preferred difficulty level to save,choose,difficulty
1033,Enter your credential to log in,enter,credential
1034,Enter email and password to log in,enter,password
1035,Enter your email and password to login,enter,password
1036,Save cycling workout track record,save,record
1037,Add and manage manual entry for race cycling,manage,race
1038,Add a manual entry for cycle racing,add,racing
1039,View ongoing configuration of local futsal league or switch to completed competition,,
1040,View status of appcrawler competition,view,appcrawler
1041,View competition,,
1042,Select an option to explore under barcode scanner,select,barcode
1043,Scan barcode and explore other menu option,explore,menu
1044,Scan barcode,,
1045,Set a ringtone from the list of ringtone,set,ringtone
1046,Select the ringtone from the list,select,ringtone
1047,Select ringtone,,
1048,Explore photo aquarium to add photo frame,,
1049,View setting of photo aquarium,,
1050,Select a setting feature for the app,select,feature
1051,Navigate to the next or previous page by clicking the respective button,navigate,page
1052,Lock the screen,lock,screen
1053,Set wallpaper on screen,,
1054,Review the message regarding the update for the dining room air conditioner and also check the status of other air conditioner,review,message
1055,View and manage the setting for air conditioner in different room,manage,conditioner
1056,Set temperature for the ac,set,temperature
1057,Explore or select the option listed within the manual lookup section,select,lookup
1058,Select type of manual lookup,,
1059,Choose the option from the list,choose,list
1060,Select criterion to set alarm cock,,
1061,Set and adjust alarm setting,adjust,alarm
1062,Activate alarm,activate,alarm
1063,Choose option to meditate and awaken chakra,,
1064,Select the preferred chakra,select,chakra
1065,Select a chakra,select,chakra
1066,Click on the diaper icon to view the most recent activity,,
1067,View latest activity of diaper,view,diaper
1068,Check the latest activity by clicking on diaper,check,activity
1069,View saved traveller detail or add new traveller detail,save,traveller
1070,View the saved traveller list or add one,add,
1071,Add and view traveller detail,view,traveller
1072,Check out the airport outbound(departure or arrival ) charge and click on the right tick mark,check,arrival
1073,Explore and manage outbound and return airport,manage,outbound
1074,View the list of outbound airport,view,airport
1075,Enter required detail to modify addres,require,detail
1076,Enter the addres then click okay to modify or cancel to discard,enter,addre
1077,Manage account,,
1078,Browse the image,browse,image
1079,Explore new wallpaper in the new tab switch to hot or best or search for any,explore,wallpaper
1080,Explore wallpaper,,
1081,Explore the option in daviss drug guide,explore,option
1082,Select an option from the daviss drug guide menu list,select,drug
1083,Search for medication,search,medication
1084,Select a method or option to send your feedback,select,method
1085,Check sword detail and use android beam to send feedback,check,sword
1086,Send feedback about great sword,send,feedback
1087,Choose a chat from the option provided then proceed to email share or export it as needed,choose,chat
1088,Start a chat from the option below,start,chat
1089,Select the option to chat,select,option
1090,Start your trip and track distance with gp,start,trip
1091,Enter detail and click on the start trip button to track distance,enter,detail
1092,Start trip by entering the detail of trip,start,trip
1093,Choose enquire now or chat button for property detail,choose,
1094,View the property detail for 3bhk flat,view,3bhk
1095,View property detail,view,property
1096,Click on the let get started button to discover and navigate the world or click on i am already a member button as an existing member,,
1097,Choose from one of the two option to proceed,choose,option
1098,Navigate using scout gp link,use,scout
1099,Start writing feedback and send,write,feedback
1100,Write feedback and send it,write,feedback
1101,Write feedback to improve the application,write,feedback
1102,Select option deny or allow by reviewing the term and privacy policy,,
1103,Choose allow or deny to control acces to your information by the app and google,control,acce
1104,Give permission to transfer datum,give,permission
1105,Choose your preferred option from the menu,choose,menu
1106,Review the option available within the ttalk app,review,ttalk
1107,Choose an option from the menu,choose,menu
1108,Enable email notification to receive best deal and weekly special,,
1109,Click checkbox to get best deal notification,,
1110,Choose to opt for weekly newslater and email,,
1111,Manage bluetooth notifier setting,manage,
1112,Read about the bluetooth notifier or manage setting,Read,
1113,Activate or deactivate bluetooth detection,deactivate,detection
1114,View and explore to buy ticket on flightnetwork,,
1115,Buy ticket for san francisco to sydney,buy,ticket
1116,Buy ticket of flight,buy,ticket
1117,Enter email and password to sign in to acces account,enter,password
1118,Enter email and password to sign in,enter,password
1119,Sign in to your account,,
1120,Explore or share panchatantra story,share,panchatantra
1121,Select the panchtantra story to read,select,panchtantra
1122,Read panchatantra story,read,panchatantra
1123,Adjust notification setting,adjust,notification
1124,View caller information,view,caller
1125,Manage caller information,manage,caller
1126,Select the desired weight and height,select,height
1127,Set weight and height and press ok,,
1128,Select weight and height for track pregnancy,,
1129,Click the set location button to designate the location,,
1130,Set location to view the movie moana,,
1131,Set location to receive movie notification,,
1132,Enter detail to sign up on livestar,enter,detail
1133,Tap on continue to sign up on livestar,,
1134,Sign up for livestar,sign,livestar
1135,Click start now or skip to move on to the next step,,
1136,Click on start now or skip button to get notification update,skip,button
1137,Press any of the four button to proceed,press,button
1138,Follow step for notification set up,follow,step
1139,View massage from the navigation menu,view,massage
1140,Review raphael tans message or switch to alert or connection,tan,message
1141,Manage and check the message or connection,check,message
1142,Sign in with google to add note or rating etcto inspirational short story,,
1143,Sign - in with google account,,
1144,Sign in using your google account,,
1145,The expected standard is that the icon should be easy to understand and visually appealing in the current design the icon are too small and too detailed making them difficult to understand to fix this the designer should use larger icon and simpler design,,
1146,Read and explore lo angele,explore,lo
1147,Explore the news article in lo angele,explore,lo
1148,Library for exercise,,
1149,Select from the library exercise,,
1150,Select option from the list of exercise,,
1151,Explore all product option and select to shop,explore,product
1152,Check out the various store item,check,store
1153,View product category list,view,category
1154,Select product from the category,,
1155,Select a product from men collection,select,man
1156,Select product from the option,,
1157,Check the recent history information,check,history
1158,Review the browse history,review,browse
1159,Explore your viewing history,explore,history
1160,Search and check out the men fashion item to buy,check,man
1161,Explore men fashion,,
1162,Search for men fashion product,search,man
1163,Choose the photo and city name for adding a popular place,choose,city
1164,Add popular destination and view stunning photo while checking the weather,add,destination
1165,Check the information related to deer call,check,deer
1166,Discover information about deer call,,
1167,Browse the list of quran scholar or reciter or translator,browse,scholar
1168,Choose from the available option to listen to the holy quran,choose,holy
1169,Explore holy quran reciter list,explore,reciter
1170,Track and manage your grade with grade tracker pro,manage,grade
1171,Explore selected option,explore,option
1172,Select course management option in grade tracker pro app,,
1173,Explore grade tracker pro menu option,,
1174,Explore the option listed in the menu bar within grade tracker pro,explore,grade
1175,View sidebar menu of grade tracker pro,,
1176,Manage headset setting,manage,headset
1177,Manage setting,,
1178,Adjust the setting,adjust,setting
1179,Select an option from below to share suggestion,select,suggestion
1180,Select an option to share,select,option
1181,Share with the available app option,share,app
1182,Find the perfect greeting to express yourself in different situation,find,situation
1183,Learn greeting in korean or mark favourite,learn,mark
1184,Select your perfect korean greeting,select,greeting
1185,Read the privacy policy term and either decline it or accept it,read,policy
1186,Decline or accept the privacy policy,accept,policy
1187,View privacy policy and disclaimer,view,disclaimer
1188,Manage setting,,
1189,Manage setting,,
1190,Change the setting,change,setting
1191,Read bible sdah devotional verse,read,sdah
1192,Click the + button to read more,,
1193,Read a verse from the bible,read,verse
1194,Manage your setting,manage,setting
1195,Explore the setting available in the general setting menu,explore,setting
1196,Manage the setting,manage,setting
1197,Explore app information,explore,app
1198,Acces app information,,
1199,Click to create profile,create,profile
1200,Set profile photo to create profile,,
1201,Create a new profile or select an account,create,profile
1202,Click on the start button to track labor contraction time,,
1203,Track and explore contraction,explore,contraction
1204,Start the timer and track the contraction,start,timer
1205,Tap to load more datum within the hygiene section,,
1206,View hygiene history of the day,view,day
1207,Select an option to explore,select,option
1208,Enter your mobile number to proceed to “ next ”,enter,number
1209,Enter mobile number to proceed,enter,number
1210,Enter the mobile phone number and proceed,enter,phone
1211,Explore the shopping app by swiping left and right,explore,shopping
1212,Read and or pres skip to proceed,,
1213,Skip to view next page,,
1214,Read article on flan mod 53 rank update published by minecraft forum,,
1215,Read the article on minecraft forum,read,article
1216,View website of minecraftforum,view,minecraftforum
1217,Enter your login detail then click next to access zinio for library,enter,login
1218,Review error and take action,review,error
1219,Browse zinio for library,browse,library
1220,Explore the animal bookmark,explore,bookmark
1221,Enter the name and view different animal,enter,name
1222,Search animal image,,
1223,Play music by artist name or explore more via album song and playlist,play,music
1224,Play a new beginning audio from the list,play,beginning
1225,Play a song from the list,play,song
1226,Set up a new whistle or check email and click on accept or connect with the community,set,whistle
1227,Choose from the various option to proceed,choose,option
1228,Set a new whistle and connect with the community,set,whistle
1229,Set or manage the timer,manage,timer
1230,View and manage tabata timer detail,manage,tabata
1231,View the detail about the timer,view,timer
1232,Copy contact to be safe,copy,contact
1233,View my contact page,view,contact
1234,Copy contact to keep it safe,copy,contact
1235,Take or select photo from gallery to setup profile,select,gallery
1236,Set profile picture from the gallery or by taking a photo,,
1237,Set profile photo from the given option,,
1238,Choose from below listed quick link option for help,,
1239,Explore or manage help -quick link,,
1240,Explore the help option,explore,help
1241,Click to add your first catch to unlock profile,add,unlock
1242,Click to add fish catch status,add,fish
1243,Alick on add your first catch to unlock your profile,add,catch
1244,Explore ja sensei app feature,sensei,feature
1245,Select an option of ja sensai to learn,select,ja
1246,Learn japanese,learn,japanese
1247,Notify me to get important update,notify,
1248,Manage notification setting,manage,notification
1249,Manage notification setting,manage,notification
1250,Join with the available option or sign in with the existing one,join,option
1251,Join or sign in using facebook google or email,,
1252,Join the account with the available social medium option,join,account
1253,Explore peakhealth to read about fitnes,,
1254,Read or know more about the option under fitnes,know,option
1255,Select an option to explore,select,option
1256,View valentine love emoji,,
1257,Add favorite or share a valentine emogi,add,
1258,Share valentine love emoji,,
1259,Fill in the blank to review the test result of c # language,fill,
1260,Fill in the blank about writing code and check answer,fill,
1261,Practice coding test and check result,practice,test
1262,Search and explore different course,explore,course
1263,Explore course or select a video to watch,explore,course
1264,View a list of course to play,,
1265,Choose your preferred option from the menu,choose,menu
1266,Explore the available option,explore,option
1267,View or manage advanced feature for the app,manage,feature
1268,View diagnostic log,view,log
1269,Click to pick or accept incoming call,,
1270,Identify category of incoming call,identify,call
1271,View the page,view,page
1272,Select the person from the provided option,select,person
1273,Choose person and check,choose,person
1274,Choose the right image for person,choose,person
1275,Track the contact,track,contact
1276,Track and view contact calender,view,calender
1277,Select a duck call option for hunting,select,duck
1278,Explore quack call or select other option from call switch to instruction or view more,explore,call
1279,Select call option from various call option,,
1280,Browse latest to watch from the movie list,,
1281,View the movie that are currently played,,
1282,View the list of movie that are playing now,,
1283,Set and manage timer detail,manage,timer
1284,Manage hiit timer,manage,hiit
1285,View detail about the timer,view,timer
1286,Enter your name in the provided field and upload your profile picture,enter,name
1287,Manage and enter required detail to set profile,enter,profile
1288,Update profile,,
1289,Click get started or i already have an account,have,account
1290,Choose an option to proceed,choose,option
1291,Login or create a new account,create,account
1292,Click to enable notification for update,enable,update
1293,Click on enable notification button to get instant update or click on skip for now link,,
1294,Enable notification for instant update,,
1295,Explore homepage to see trending hashtag and recent post,,
1296,View home page of tyt,view,tyt
1297,Explore the trending or recent post,explore,trending
1298,Enter number(mathematical problem ) using the keyboard and calculate it,enter,problem
1299,Enter number to calculate it on mathpapa,enter,number
1300,Use mathpapa calculator,use,mathpapa
1301,Enter credential to set a passcode or skip setting,enter,credential
1302,Enter digit to set password,,
1303,Set a passcode,set,passcode
1304,Enter credential to login,enter,credential
1305,Enter your credential to login,enter,credential
1306,Enter detail to login to guardzilla,enter,detail
1307,Check average consumption of fuel and driving cost,check,consumption
1308,View the statistic for fuel consumption,view,consumption
1309,View average consumption of fuel,view,consumption
1310,Select an option from the list to shop,select,list
1311,Select the option available under shop,select,shop
1312,Select donation option to donate,,
1313,View and explore product description to buy the product,explore,description
1314,View a product page for shoe,view,shoe
1315,Select size to buy shoe,,
1316,Choose an option to manage,choose,option
1317,View more option of all comic,view,option
1318,View comic list,view,list
1319,Browse option under help section,,
1320,Explore the help option provided,explore,help
1321,Explore help option,,
1322,Manage setting,,
1323,Select an option from setting menu,select,menu
1324,Manage the setting,manage,setting
1325,View instant play of spuul,view,spuul
1326,Continue watching or start something new,,
1327,Click to continue watching or select a new movie,,
1328,Explore true religion product,explore,religion
1329,Select category for a clothing store called true religion,,
1330,Explore women and men collection,,
1331,Click the confirm button to lock in your selection,,
1332,Confirm date from 17 february to 3 march,confirm,date
1333,Select date from calendar,,
1334,Select departure date to plan your trip,,
1335,Choose the departure date,choose,departure
1336,Select departure date,,
1337,Enter your credential to proceed next,enter,credential
1338,Enter the detail and click next to create a new account,enter,detail
1339,Enter detail to create account,enter,detail
1340,View game date wise between different team,view,team
1341,Check the nfl score for game played by the lion in the game section,check,nfl
1342,View lion score card,,
1343,Explore below listed option in category section,explore,section
1344,Browse through the available category within the cctv section,browse,cctv
1345,Select category to view result,,
1346,Sign in account with your given app option,,
1347,Sign in through available social medium option,,
1348,Choose option to sign in,choose,option
1349,Explore prayer to view,,
1350,Set prayer time,,
1351,Enter your company user i d password and traveler server information,enter,company
1352,Enter your detail and click login,enter,detail
1353,Log in into ibm verse,log,ibm
1354,View bookmark detail,,
1355,View bookmark or search for any,,
1356,View bookmark entry,bookmark,entry
1357,Enter a location to browse apartment acces pricing tool or add favorite,enter,pricing
1358,Enter the city zip or neighborhood to search,enter,city
1359,Search apartment in texa,,
1360,Browse or explore movie,explore,movie
1361,Explore video on the home tab or switch tab in the cinetrailertv app,explore,video
1362,Explore movie video,explore,movie
1363,Search word fibertigibet meaning using english dictionary or re - enter the correct word to find meaning,use,dictionary
1364,Search and explore english dicrionary,explore,dicrionary
1365,Find word in english dictionary,find,word
1366,Enter detail to join or sign in if already have an account,enter,detail
1367,Enter detail and click join now or sign in to join linkedin,enter,detail
1368,Sign - up or sign - in for linkedin,,
1369,Enter detail and click on next button,enter,detail
1370,Enter country name location and phone number to proceed next,enter,phone
1371,Select country code location and insert phone number to proceed,,
1372,Click to join now or sign in to linkedin,,
1373,Join now or sign in using the button,,
1374,Click the button to sign in or join linkedin,,
1375,Create profile with email,create,profile
1376,View the error message to make username and email correction,,
1377,Explore or discover our product,discover,product
1378,Explore the product available within the product tab,explore,product
1379,Choose a product to view more information,choose,product
1380,Browse the latest auto news,browse,auto
1381,View auto news article,view,auto
1382,Explore auto news,,
1383,Select zodiac sign to explore,,
1384,Select your sign to explore,select,sign
1385,Get your daily horoscope :,get,horoscope
1386,Explore the menu option within iheartradio,explore,menu
1387,View the side menu option,view,side
1388,View sidebar menu for iheart radio,,
1389,Click create account and enter your detail to set up your new account,create,account
1390,Enter detail for create an account,enter,detail
1391,Enter the detail to create account,enter,detail
1392,Explore the android video player list,explore,player
1393,Explore the video of sdcard storage,explore,sdcard
1394,View stored file on sd card,store,
1395,Track and manage psiphon speed limit stat,manage,limit
1396,View the stat for psiphon pro,view,stat
1397,Show the statistic about sent and received datum,show,statistic
1398,Explore the side bar menu option,explore,side
1399,Select an option to explore,select,option
1400,Proceed with the side menu bar option,proceed,side
1401,Click beginning to digitize your frequently used service form,digitize,form
1402,View service form,,
1403,View information about document,view,document
1404,Get an upp talk phone number or register your personal phone number,get,upp
1405,Get an upptalk phone number or register your number,get,upptalk
1406,Choose the caller i d,choose,caller
1407,Explore casualty response by reviewing the response plan,explore,response
1408,Browse the article available in the casualty response section,browse,response
1409,Learn about casualty response,learn,response
1410,Select and explore casualty triage algorithm,explore,triage
1411,Enter detail and click on the next button to signup or log in instead,enter,detail
1412,Enter username and password then click next to sign up or login instead to log in,,
1413,Enter detail to signup,enter,detail
1414,Manage big photo and notification setting,manage,photo
1415,Manage notification setting for the app m live,manage,notification
1416,Manage the setting,manage,setting
1417,View or capture sound ( source of the audio ) or switch to other option,capture,source
1418,View sound spotlight in profile,view,spotlight
1419,Explore sound related product,explore,product
1420,Insert or select criterion for the assessment,,
1421,Give required detail for the assessment,give,detail
1422,Enter detail for assesment,enter,detail
1423,Click link to learn more about term of use and privacy policy,learn,use
1424,Click on the get started button to agree term of use and privacy policy,start,button
1425,Accept term of use for view soup recipe,accept,soup
1426,Review the statistic and compare the metric datum,review,statistic
1427,Track learning progres and correct answer,learn,answer
1428,View statistic for today,statistic,today
1429,Use the current location or click add location to select a location,use,location
1430,Select or add location,add,location
1431,Select or add or use current location,,
1432,Find about bird based on different category,find,bird
1433,Search a bird by observation,search,bird
1434,View homepage of find bird app,,
1435,Activate or view more theme,view,theme
1436,Activate pink jelly theme,activate,theme
1437,Activate a new theme from pink jelly,activate,theme
1438,Get started your fitnes journey with google fit,start,fitne
1439,Click on i agree to accept google fits term of service and privacy policy,accept,google
1440,Privacy and policy page for google product,,
1441,Tap skip or next to find your parked car,,
1442,Proceed to next page on onboarding screen,proceed,page
1443,Locate your parked car,locate,car
1444,Place the order mcdelivery bundle meal 1 and explore more food item,place,order
1445,Place order for mcdonald ’s mcdelivery bundle meal,,
1446,Place your meal order,place,meal
1447,Click on toggle or back button,click,toggle
1448,Click share or toggle feature to explore app,,
1449,Select toggle or back option,,
1450,Tap the continue as laura button,Tap,continue
1451,Click to continue to signup with facebook profile,,
1452,Sign - in as laura and edit the detail,,
1453,Choose your answer by clicking button,choose,answer
1454,Make or manage schedule,manage,schedule
1455,Select yes to schedule,,
1456,View the pickup information for an order by zaoh restaurant,view,zaoh
1457,View the pickup information for zoah restaurant,view,zoah
1458,Proceed with tap to begin,proceed,
1459,Tap to begin for complete profile,,
1460,Stop smoking,,
1461,Adjust notification preference,adjust,preference
1462,View and manage notification setting,manage,notification
1463,Manage notification setting,manage,notification
1464,Search and explore different category item and save it to buy,explore,item
1465,Browse department on the app,,
1466,Select an option to explore,select,option
1467,Turn on or off drive detection,turn,detection
1468,Toggle the drive detection button,,
1469,Check the speed while you drive,check,speed
1470,Read some information about hide and seek mcpe map and explore other more option,read,mcpe
1471,Explore the hide and seek mcpe map option or install it by clicking install,explore,hide
1472,Click on the option to get hideand seek mcpe map installed,,
1473,Enter required detail to sign up,require,detail
1474,Enter email and password to sign up,enter,password
1475,Enter email and password for signup,enter,password
1476,Re - enter or review email and click on the next button to sign up or login,review,email
1477,Enter required detail to sign up on school leader,require,detail
1478,Sign - up or sign - in for school leader account,,
1479,Get started to photo privacy with selfie verification,start,privacy
1480,Click on get started button to proceed,,
1481,Press onto get started to onboard,,
1482,Check out the different model of car in the selected tab all category ad with price or switch to sub category tab,check,model
1483,Explore the classified ad,explore,ad
1484,Choose or view car from the list,view,car
1485,Select payment type and continue for create new ad,,
1486,Select or manage from the option available to create a new ad,manage,ad
1487,Create a new ad,create,ad
1488,Select an option to explore,select,option
1489,Explore the website kitco,explore,website
1490,Manage the home page,manage,home
1491,Select an option from pocket medbook to explore,select,pocket
1492,Select an option from pocket medbook to explore,select,pocket
1493,View pocket medbook dictionary,,
1494,Enter your name phone or email to initiate magicjack connection,enter,phone
1495,Find by name phone or email to make a connection or switch to favorite and all tab to explore more,explore,
1496,Invite someone to join magicjack connect,invite,
