id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
286,purpose and function,try,unknown,unknown,unknown,unknown,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
287,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,thorough redesign,ui,breakfast icon,increase,setting bar,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
288,highlighted section,consider,unknown,unknown,change,spelling babsy,positioning use design software to ensure alignment,thorough redesign,facebook app,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
289,unknown,adjust,separation line,current lack,consider,unknown,purpose and function,leave alignment,purpose and function,highlighted section,button place,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
290,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,uniform font style to be use consistently,current button size,unknown,thorough redesign,ui,text color contrast,uniform font style to be use consistently,text color contrast,more readable font,uniform font style to be use consistently,more readable font,unknown,unknown,unknown
291,setting page,thorough redesign,setting page,unknown,proofread,sentence,unknown,improve,legibility,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
292,purpose and function,aim,unknown,essential content,offer,information,text color contrast,uniform font style to be use consistently,unnecessarily large font,ranking text,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
293,heading,relocate,text and title,map,diversify,button 's width,Customize Weather title,move,text and title,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
294,button or icon allow user to see current location,consider,unknown,unknown,make,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
295,unknown,consider,unknown,map,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
296,prominently position back button,give,prominently position back button,unknown,consider,unknown,breakfast icon,change,breakfast icon,positioning use design software to ensure alignment,make,"more common language , such",prominently position back button,give,prominently position back button,unknown,unknown,unknown,unknown,unknown,unknown
297,standardize,make,precise alignment and increase pad,heading and text body,reintegrate,more appropriate visual cue,absence,reintegrate,"more common language , such",unknown,reintegrate,more appropriate visual cue,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
298,blue icon,highlighted part darker,breakfast icon,menu option layout,establish,menu option layout,unknown,add,clear layout and intuitive navigation,space element,reduce,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
299,uniform font style to be use consistently,swap,black circle,unknown,prioritize,essential content,positioning use design software to ensure alignment,uniform font style to be use consistently,"more common language , such",uniform font style to be use consistently,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
300,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,highlighted three dot,enlarge,highlighted three dot,current button size,increase,current button size,separate background,change,text color contrast,location tab,increase,current button size,uniform font style to be use consistently,uniform font style to be use consistently,text color contrast,facebook app,add,placeholder image or alternative visual content
301,mo do not give sense look,be,spelling babsy,text color contrast,uniform font style to be use consistently,text color contrast,unknown,uniform font style to be use consistently,dark color scheme Bounding Box,more readable font,be,more readable font,uniform font style to be use consistently,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown
302,ranking text,increase,current button size,text color contrast,change,text color contrast,unknown,thorough redesign,unknown,ranking text,make,ranking text,text color contrast,tone,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown
303,ranking text,be,separate background,button or icon allow user to see current location,add,text color contrast,button or icon allow user to see current location,add,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
304,unknown,uniform font style to be use consistently,button or icon allow user to see current location,button or icon allow user to see current location,be,button or icon allow user to see current location,unknown,text color contrast,begin button,button or icon allow user to see current location,two label,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
305,unknown,increase,separate background,positioning use design software to ensure alignment,increase,current button size,current lack,choose,separate background,more readable font,increase,more readable font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
306,breakfast icon,add,ranking text,breakfast icon,replace,breakfast icon,separate background,choose,text color contrast,button or icon allow user to see current location,uniform font style to be use consistently,text color contrast,button or icon allow user to see current location,button place,unknown,stand highlight,relocate,unknown,Update Questions button,make,Update Questions button
307,purpose and function,try,unknown,ranking text,increase,color weight,purpose and function,begin,unknown,breakfast icon,try,unknown,more readable font,increase,more readable font,unknown,unknown,unknown,unknown,unknown,unknown
308,positioning use design software to ensure alignment,reintegrate,breakfast icon,purpose and function,add,section border,ranking text,increase,current button size,ranking text,make,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
309,more readable font,change,more readable font,ranking text,make,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
310,current button size,increase,current button size,back arrow icon,increase,current button size,ranking text,increase,current button size,ranking text,make,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
311,ranking text,increase,separate background,ranking text,enlarge,ranking text,airport code,consider,unknown,ranking text,be,separate background,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown
312,absence,ncorporate,breakfast icon,ranking text,increase,separate background,ranking text,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
313,unknown,unknown,unknown,text color contrast,choose,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
314,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,uniform font style to be use consistently,current button size,more readable font,uniform font style to be use consistently,current button size,unknown,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown
315,unknown,consider,unknown,current button size,increase,current button size,more readable font,increase,unknown,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
316,unknown,unknown,unknown,Remove advertisement and rate aktiBMI button,consider,unknown,unknown,consider,unknown,information,change,two label,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
317,unknown,unknown,unknown,unknown,reintegrate,star icon,positioning use design software to ensure alignment,improve,positioning use design software to ensure alignment,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
318,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,setting bar,enlarge,setting bar,unknown,consider,unknown,facebook app,consider,unknown,unknown,reduce,repeat number,ranking text,increase,ranking text,unknown,unknown,unknown
319,ranking text,increase,ranking text,ranking text,increase,current button size,ranking text,increase,ranking text,unknown,reduce,repeat number,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
320,button or icon allow user to see current location,add,button or icon allow user to see current location,vibrant and eye-catch color,consider,unknown,unknown,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
321,purpose and function,align,purpose and function,unknown,remove,purpose and function,information,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
322,login and logo,button place,unknown,button or icon allow user to see current location,enlarge,current button size,current button size,increase,current button size,text field,increase,separate background,clean and more organized look,uniform font style to be use consistently,unknown,information,make,unknown,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment
323,ranking text,break,space element,cross button,make,unknown,purpose and function,increase,unknown,current login form,increase,current button size,current login form,uniform font style to be use consistently,space element,unknown,unknown,unknown,unknown,unknown,unknown
324,unknown,unknown,unknown,positioning use design software to ensure alignment,add,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
325,current login form,increase,current button size,loading issue,standardize,current button size,unknown,remove,purpose and function,current login form,increase,current button size,current login form,uniform font style to be use consistently,space element,unknown,unknown,unknown,unknown,unknown,unknown
326,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,button or icon allow user to see current location,consider,unknown,current button size,increase,current button size,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
327,Skip Tour button,improve,placeholder image or alternative visual content,absence,reintegrate,breakfast icon,Skip Tour button,give,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
328,Skip Tour button,give,placeholder image or alternative visual content,item load but lack proper visual-blank image,increase,current button size,Skip Tour button,align,Skip Tour button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
329,ranking text,increase,ranking text,unknown,increase,standard drop,ranking text,make,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
330,ranking text,increase,text color contrast,standard drop,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
331,unknown,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
332,button or icon allow user to see current location,add,button or icon allow user to see current location,two label,be,standardize,appropriate icon clearly represent function,add,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
333,unknown,change,text color contrast,button or icon allow user to see current location,add,boundary,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
334,facebook app,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
335,unknown,unknown,unknown,unknown,unknown,unknown,current button size,enlarge,current button size,unknown,unknown,unknown,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown
336,breakfast icon,adjust,text color contrast,ranking text,increase,separate background,ranking text,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
337,ranking text,uniform font style to be use consistently,more readable font,purpose and function,adjust,consistent margin,loading issue,improve,separate background,ranking text,increase,ranking text,text field,improve,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown
338,positioning use design software to ensure alignment,reintegrate,appropriate icon clearly represent function,unknown,reintegrate,item load but lack proper visual-blank image,unknown,reintegrate,menu option layout,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
339,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,setting bar,enlarge,setting bar,current button size,increase,current button size,unknown,consider,unknown,facebook app,uniform font style to be use consistently,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown
340,color weight,increase,color weight,ranking text,increase,ranking text,facebook app,uniform font style to be use consistently,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
341,unknown,increase,separate background,text color contrast,increase,ranking text,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
342,text color contrast,increase,separate background,unknown,try,unknown,unknown,unknown,unknown,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
343,unknown,add,positioning use design software to ensure alignment,purpose and function,align,purpose and function,separate background,add,item load but lack proper visual-blank image,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
344,ranking text,increase,current button size,ranking text,change,text color contrast,setting bar,improve,purpose and function,button or icon allow user to see current location,add,button or icon allow user to see current location,setting bar,update,setting bar,unknown,unknown,unknown,unknown,unknown,unknown
345,button or icon allow user to see current location,add,boundary,word dictionary,shorten,sentence,ranking text,change,text color contrast,ui,find,entire way,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
346,current button size,increase,current button size,button or icon allow user to see current location,make,unknown,purpose and function,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
347,text Cycle Length,align,dark color scheme Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
348,repeat number,add,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
349,highlighted section,add,text color contrast,breakfast icon,add,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
350,month name,remove,month name,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
351,star icon,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
352,play button icon,add,two label,two separate wheel,increase,spacing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
353,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,stand highlight,enlarge,current button size,current button size,consider,unknown,heading,increase,current button size,right arrow key,enlarge,right arrow key,ranking text,increase,ranking text,unknown,remove,unknown
354,ranking text,increase,ranking text,unknown,consider,unknown,heading and text body,consider,unknown,ranking text,increase,ranking text,heading airport,make,heading airport,unknown,unknown,unknown,unknown,unknown,unknown
355,positioning use design software to ensure alignment,uniform font style to be use consistently,text color contrast,ranking text,try,unknown,ranking text,increase,ranking text,ranking text,increase,ranking text,heading airport,make,heading airport,unknown,unknown,unknown,unknown,unknown,unknown
356,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,facebook app,make,unknown,button or icon allow user to see current location,enlarge,unknown,ranking text,correct,spelling babsy,first letter,begin,disabled option,unknown,remove,one,unknown,unknown,unknown
357,breakfast icon,adjust,systematic arrangement,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
358,"more common language , such",consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
359,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,unknown,thorough redesign,unknown,unknown,add,forgot passcode hyperlink,unknown,add,button or icon allow user to see current location,more readable font,uniform font style to be use consistently,current button size
360,text color contrast,increase,separate background,highlighted section,adjust,systematic arrangement,positioning use design software to ensure alignment,add,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
361,ranking text,increase,ranking text,ranking text,increase,current button size,more readable font,uniform font style to be use consistently,current button size,positioning use design software to ensure alignment,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
362,breakfast icon,add,breakfast icon,breakfast icon,add,breakfast icon,breakfast icon,consider,unknown,breakfast icon,consider,unknown,unknown,remove,unknown,unknown,unknown,unknown,unknown,unknown,unknown
363,breakfast icon,increase,current button size,purpose and function,add,space element,Mobile Performance Meter section,button place,Mobile Performance Meter section,unknown,remove,unknown,Mobile Performance Meter section,make,Mobile Performance Meter section,unknown,unknown,unknown,unknown,unknown,unknown
364,unknown,add,clear close icon,unknown,add,clear close icon,breakfast icon,adjust,systematic arrangement,positioning use design software to ensure alignment,consider,unknown,unknown,ensure,unknown,unknown,remove,unknown,unknown,unknown,unknown
365,breakfast icon,adjust,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
366,heading,increase,current button size,unknown,move,check box size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
367,button or icon allow user to see current location,adjust,systematic arrangement,breakfast icon,replace,breakfast icon,head Survey,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
368,uniform font style to be use consistently,try,unknown,uniform font style to be use consistently,reduce,amount,button or icon allow user to see current location,make,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
369,check box size,adjust,check box size,unknown,unknown,unknown,positioning use design software to ensure alignment,uniform font style to be use consistently,unknown,send OTP button,add,send OTP button,unknown,ensure,unknown,ranking text,increase,current button size,ranking text,increase,ranking text
370,text field,increase,current button size,text field,be,unknown,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
371,current button size,increase,current button size,button or icon allow user to see current location,add,button or icon allow user to see current location,ranking text,uniform font style to be use consistently,current button size,ui,thorough redesign,ui,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
372,breakfast icon,adjust,text color contrast,absence,reintegrate,breakfast icon,heading,increase,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
373,purpose and function,try,unknown,main heading and sub heading,try,unknown,ui,thorough redesign,ui,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
374,setting bar,appear,setting bar,unknown,ensure,unknown,unknown,unknown,unknown,Oak St,increase,current button size,Oak St,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown
375,purpose and function,add,clear layout and intuitive navigation,Oak St,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
376,color weight,increase,color weight,ranking text,make,unknown,Oak St,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
377,unknown,add,back and exit button,current button size,increase,current button size,unknown,consider,unknown,ranking text,enlarge,ranking text,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown
378,unknown,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
379,heading frequently ask question,align,heading,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
380,menu option layout,enlarge,button or icon allow user to see current location,appropriate icon clearly represent function,make,appropriate icon clearly represent function,button or icon allow user to see current location,offer,section border,checkbox contrast,enlarge,checkbox contrast,item load but lack proper visual-blank image,offer,uneven padding,current button size,increase,current button size,separate background,change,text color contrast
381,unknown,unknown,unknown,ranking text,offer,disabled option,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
382,star icon,offer,clear layout and intuitive navigation,breakfast icon,know,clear and functional checkbox,subscription message,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
383,unknown,remove,fake GPS-Search location,breakfast icon,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
384,ranking text,increase,separate background,positioning use design software to ensure alignment,add,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
385,text color contrast,consider,unknown,button or icon allow user to see current location,consider,unknown,text color contrast,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
386,ranking text,change,text color contrast,ranking text,increase,current button size,unknown,unknown,unknown,ui,add,information,button or icon allow user to see current location,remove,bird face,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown
387,item load but lack proper visual-blank image,adjust,current button size,positioning use design software to ensure alignment,uniform font style to be use consistently,current button size,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
388,item load but lack proper visual-blank image,adjust,positioning use design software to ensure alignment,unknown,add,clear close icon,/ record 0 when game be not play,consider,clear and functional checkbox,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
389,unknown,proofread,ranking text,unknown,improve,legibility,ranking text,make,ranking text,positioning use design software to ensure alignment,organize,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
390,unknown,reduce,space element,two label,restructure,positioning use design software to ensure alignment,positioning use design software to ensure alignment,organize,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
391,positioning use design software to ensure alignment,try,unknown,ranking text,increase,separate background,ranking text,increase,ranking text,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
392,separate background,make,unknown,current button size,increase,current button size,uniform font style to be use consistently,make,unknown,ranking text,adjust,ranking text,unknown,enlarge,appropriate icon clearly represent function,stand highlight,enlarge,current button size,ranking text,increase,ranking text
393,breakfast icon,adjust,text color contrast,user-friendly menu system,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
394,purpose and function,offer,element label Unknown,breakfast icon,adjust,text color contrast,unknown,apply,more readable font,home,replace,home,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
395,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,thorough redesign,unknown,current button size,increase,current button size,breakfast icon,change,breakfast icon,text color contrast,make,text color contrast,unknown,unknown,unknown
396,text and title,change,text and title,positioning use design software to ensure alignment,add,clear and functional checkbox,breakfast icon,change,breakfast icon,unknown,remove,Map Units section,placeholder image or alternative visual content,make,placeholder image or alternative visual content,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,unknown,unknown,unknown
397,ranking text,increase,current button size,ranking text,uniform font style to be use consistently,more readable font,breakfast icon,choose,positioning use design software to ensure alignment,placeholder image or alternative visual content,make,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
398,primary purpose,remove,breakfast icon,current button size,increase,current button size,unknown,add,consistent margin,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
399,breakfast icon,try,unknown,unknown,try,unknown,"more common language , such",make,unknown,purpose and function,uniform font style to be use consistently,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
400,purpose and function,try,unknown,current lack,try,unknown,unknown,choose,text color contrast,restaurant name,make,unknown,purpose and function,uniform font style to be use consistently,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown
401,breakfast icon,improve,clear and functional checkbox,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
402,breakfast icon,adjust,positioning use design software to ensure alignment,breakfast icon,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
403,well-define menu,button place,unknown,unknown,proofread,dark color scheme Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
404,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,unknown,thorough redesign,unknown,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown
405,setting bar,increase,setting bar,space element,unknown,unknown,essential content,uniform font style to be use consistently,clear layout and intuitive navigation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
406,setting bar,make,unknown,call,change,text color contrast,essential content,uniform font style to be use consistently,clear layout and intuitive navigation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
407,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,unknown,remove,unknown,facebook app,consider,unknown,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
408,button or icon allow user to see current location,add,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
409,unknown,increase,breakfast icon,heading,relocate,heading,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
410,brown button,uniform font style to be use consistently,text 's small size and low color contrast,breakfast icon,enlarge,breakfast icon,heading and text body,uniform font style to be use consistently,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
411,breakfast icon,add,appropriate icon clearly represent function,breakfast icon,add,appropriate icon clearly represent function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
412,button or icon allow user to see current location,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
413,unknown,consider,unknown,ranking text,uniform font style to be use consistently,separation line,ranking text,uniform font style to be use consistently,consistent margin,ranking text,uniform font style to be use consistently,section border,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
414,unnecessarily large font,reduce,space element,absence,add,button or icon allow user to see current location,ranking text,uniform font style to be use consistently,space element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
415,ranking text,increase,current button size,unknown,add,separation line,clean and more organized look,add,placeholder image or alternative visual content,current button size,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
416,ranking text,increase,current button size,ranking text,change,text color contrast,breakfast icon,thorough redesign,dark color scheme Bounding Box,unknown,add,button or icon allow user to see current location,unknown,add,button or icon allow user to see current location,uniform font style to be use consistently,thorough redesign,setting page,purpose and function,thorough redesign,ui
417,purpose and function,reintroduce,"more common language , such",purpose and function,add,section border,ranking text,increase,current button size,unknown,unknown,unknown,uniform font style to be use consistently,thorough redesign,text color contrast,uniform font style to be use consistently,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown
418,breakfast icon,give,similar graphic treatment,breakfast icon,increase,space element,digit,increase,current button size,note section,appear,note section,uniform font style to be use consistently,uniform font style to be use consistently,more concise language,unknown,unknown,unknown,unknown,unknown,unknown
419,text and title,change,text and title,ranking text,increase,separate background,ranking text,be,unknown,button or icon allow user to see current location,give,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
420,current button size,increase,current button size,button or icon allow user to see current location,consider,unknown,facebook app,reintroduce,text color contrast,button or icon allow user to see current location,give,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
421,header and sub header,mean,unknown,ranking text,align,dark color scheme Bounding Box,button or icon allow user to see current location,give,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
